"class","speaker","Participant","Filename","Rating","MOS","listener","listener_gender","listener_age","speaker_gender","distortion"
"high","008","12_m_22","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",42,3.1765504,"12","m","22","f","AMRWB"
"high","008","11_m_23","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",37,2.7254674,"11","m","23","f","AMRWB"
"high","008","11_m_23","w008_dakar_d2_2b_HP135_WB_G722_64.wav",50,3.8748,"11","m","23","f","G722"
"high","008","08_m_19","w008_dakar_d4_4a4b_BP900_2500.wav",16,1.1940088,"08","m","19","f","BP900_2500"
"high","008","20_m_28","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",42,3.1765504,"20","m","28","f","AMRWB"
"high","008","12_m_22","w008_dakar_d2_2b_HP135_WB_G722_64.wav",40,2.9959,"12","m","22","f","G722"
"high","008","20_m_28","w008_dakar_d2_2b_HP135_WB_G722_64.wav",48,3.7064056,"20","m","28","f","G722"
"high","008","06_w_23","w008_dakar_d2_2b_HP135_WB_G722_64.wav",45,3.444925,"06","w","23","f","G722"
"high","008","04_w_24","w008_dakar_d4_4a4b_BP900_2500.wav",20,1.4013,"04","w","24","f","BP900_2500"
"high","008","07_w_21","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",25,1.730425,"07","w","21","f","AMRWB"
"high","008","06_w_23","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",53,4.1153586,"06","w","23","f","EVS"
"high","008","16_m_34","w008_dakar_d3_3a3b_ref.wav",55,4.265875,"16","m","34","f","ref"
"high","008","08_m_19","w008_dakar_d3_3c1_IRS_NB_G711_A_64.wav",40,2.9959,"08","m","19","f","G711"
"high","008","19_m_25","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",36,2.6360968,"19","m","25","f","AMRWB"
"high","008","08_m_19","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",57,4.4070394,"08","m","19","f","EVS"
"high","008","04_w_24","w008_dakar_d1_1a1b_MNRU_10DB.wav",20,1.4013,"04","w","24","f","MNRU_10DB"
"high","008","11_m_23","w008_dakar_d3_3a3b_ref.wav",58,4.4737216,"11","m","23","f","ref"
"high","008","11_m_23","w008_dakar_d3_3c1_IRS_NB_G711_A_64.wav",30,2.119,"11","m","23","f","G711"
"high","008","14_w_29","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",34,2.4594592,"14","w","29","f","AMRWB"
"high","008","10_w_27","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",24,1.6592152,"10","w","27","f","AMRNB"
"high","008","04_w_24","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",59,4.5375942,"04","w","24","f","EVS"
"high","008","11_m_23","w008_dakar_d4_4a4b_BP900_2500.wav",28,1.9576936,"11","m","23","f","BP900_2500"
"high","008","18_m_31","w008_dakar_d2_2b_HP135_WB_G722_64.wav",55,4.265875,"18","m","31","f","G722"
"high","008","07_w_21","w008_dakar_d4_4a4b_BP900_2500.wav",22,1.5245584,"07","w","21","f","BP900_2500"
"high","008","09_w_28","w008_dakar_d2_2b_HP135_WB_G722_64.wav",54,4.1917072,"09","w","28","f","G722"
"high","008","17_w_23","w008_dakar_d3_3a3b_ref.wav",60,4.5985,"17","w","23","f","ref"
"high","008","04_w_24","w008_dakar_d2_2b_HP135_WB_G722_64.wav",60,4.5985,"04","w","24","f","G722"
"high","008","12_m_22","w008_dakar_d3_3a3b_ref.wav",50,3.8748,"12","m","22","f","ref"
"high","008","03_w_31","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",30,2.119,"03","w","31","f","AMRWB"
"high","008","09_w_28","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",36,2.6360968,"09","w","28","f","AMRNB"
"high","008","17_w_23","w008_dakar_d2_2b_HP135_WB_G722_64.wav",50,3.8748,"17","w","23","f","G722"
"high","008","01_w_29","w008_dakar_d1_1a1b_MNRU_10DB.wav",20,1.4013,"01","w","29","f","MNRU_10DB"
"high","008","11_m_23","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",41,3.0862938,"11","m","23","f","EVS"
"high","008","03_w_31","w008_dakar_d4_4a4b_BP900_2500.wav",22,1.5245584,"03","w","31","f","BP900_2500"
"high","008","08_m_19","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",30,2.119,"08","m","19","f","AMRNB"
"high","008","14_w_29","w008_dakar_d4_4a4b_BP900_2500.wav",30,2.119,"14","w","29","f","BP900_2500"
"high","008","13_m_32","w008_dakar_d2_2b_HP135_WB_G722_64.wav",43,3.2665126,"13","m","32","f","G722"
"high","008","02_w_29","w008_dakar_d4_4a4b_BP900_2500.wav",19,1.3443382,"02","w","29","f","BP900_2500"
"high","008","04_w_24","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",58,4.4737216,"04","w","24","f","AMRWB"
"high","008","19_m_25","w008_dakar_d1_1a1b_MNRU_10DB.wav",20,1.4013,"19","m","25","f","MNRU_10DB"
"high","008","18_m_31","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",26,1.8040128,"18","m","31","f","AMRWB"
"high","008","02_w_29","w008_dakar_d2_2b_HP135_WB_G722_64.wav",70,5.0098,"02","w","29","f","G722"
"high","008","19_m_25","w008_dakar_d2_2b_HP135_WB_G722_64.wav",34,2.4594592,"19","m","25","f","G722"
"high","008","19_m_25","w008_dakar_d3_3a3b_ref.wav",50,3.8748,"19","m","25","f","ref"
"high","008","10_w_27","w008_dakar_d4_4a4b_BP900_2500.wav",17,1.2405354,"10","w","27","f","BP900_2500"
"high","008","05_m_22","w008_dakar_d2_2b_HP135_WB_G722_64.wav",50,3.8748,"05","m","22","f","G722"
"high","008","13_m_32","w008_dakar_d3_3a3b_ref.wav",70,5.0098,"13","m","32","f","ref"
"high","008","14_w_29","w008_dakar_d2_2b_HP135_WB_G722_64.wav",39,2.9055262,"14","w","29","f","G722"
"high","008","02_w_29","w008_dakar_d1_1a1b_MNRU_10DB.wav",10,1,"02","w","29","f","MNRU_10DB"
"high","008","17_w_23","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",46,3.5330608,"17","w","23","f","AMRNB"
"high","008","14_w_29","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",38,2.8153296,"14","w","29","f","AMRNB"
"high","008","02_w_29","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",65,4.853025,"02","w","29","f","EVS"
"high","008","18_m_31","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",34,2.4594592,"18","m","31","f","AMRNB"
"high","008","18_m_31","w008_dakar_d4_4a4b_BP900_2500.wav",31,2.2021198,"18","m","31","f","BP900_2500"
"high","008","16_m_34","w008_dakar_d4_4a4b_BP900_2500.wav",21,1.4614258,"16","m","34","f","BP900_2500"
"high","008","15_m_27","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",57,4.4070394,"15","m","27","f","EVS"
"high","008","02_w_29","w008_dakar_d3_3c1_IRS_NB_G711_A_64.wav",40,2.9959,"02","w","29","f","G711"
"high","008","18_m_31","w008_dakar_d1_1a1b_MNRU_10DB.wav",22,1.5245584,"18","m","31","f","MNRU_10DB"
"high","008","05_m_22","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",34,2.4594592,"05","m","22","f","AMRWB"
"high","008","02_w_29","w008_dakar_d3_3a3b_ref.wav",50,3.8748,"02","w","29","f","ref"
"high","008","12_m_22","w008_dakar_d4_4a4b_BP900_2500.wav",34,2.4594592,"12","m","22","f","BP900_2500"
"high","008","01_w_29","w008_dakar_d3_3c2_SWB_EVS_16_4.wav",70,5.0098,"01","w","29","f","EVS"
"high","008","15_m_27","w008_dakar_d4_4a4b_BP900_2500.wav",28,1.9576936,"15","m","27","f","BP900_2500"
"high","008","15_m_27","w008_dakar_d3_3c1_IRS_NB_G711_A_64.wav",49,3.7913002,"15","m","27","f","G711"
"high","008","17_w_23","w008_dakar_d1_1c_06_HP135_WB_AMRWB_6_6.wav",44,3.3560232,"17","w","23","f","AMRWB"
"high","008","01_w_29","w008_dakar_d3_3c1_IRS_NB_G711_A_64.wav",57,4.4070394,"01","w","29","f","G711"
"high","008","15_m_27","w008_dakar_d4_4c_IRS_NB_AMRNB_4_75.wav",37,2.7254674,"15","m","27","f","AMRNB"
"high","008","01_w_29","w008_dakar_d2_2b_HP135_WB_G722_64.wav",50,3.8748,"01","w","29","f","G722"
"high","008","01_w_29","w008_dakar_d3_3a3b_ref.wav",70,5.0098,"01","w","29","f","ref"
"high","008","20_m_28","w008_dakar_d1_1a1b_MNRU_10DB.wav",26,1.8040128,"20","m","28","f","MNRU_10DB"
"high","008","05_m_22","w008_dakar_d1_1a1b_MNRU_10DB.wav",18,1.2906976,"05","m","22","f","MNRU_10DB"
"high","008","19_m_25","w008_dakar_d4_4a4b_BP900_2500.wav",34,2.4594592,"19","m","25","f","BP900_2500"
