Ref;Deg;MOS
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b.wav;4.42
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_BP900_2500.wav;1.97
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_HP135_WB_AMRWB_6_6.wav;3.04
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_HP135_WB_G722_64.wav;4.45
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_IRS_NB_AMRNB_4_75.wav;2.46
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_IRS_NB_G711_A_64.wav;3.30
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_MNRU_10DB.wav;1.23
m041_bucharest_d1_1a1b.wav;m041_bucharest_d1_1a1b_SWB_EVS_16_4.wav;4.40
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03.wav;4.41
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_BP900_2500.wav;1.90
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_HP135_WB_AMRWB_6_6.wav;3.30
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_HP135_WB_G722_64.wav;4.40
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_IRS_NB_AMRNB_4_75.wav;2.26
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_IRS_NB_G711_A_64.wav;3.18
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_MNRU_10DB.wav;1.21
m041_bucharest_d1_1c_03.wav;m041_bucharest_d1_1c_03_SWB_EVS_16_4.wav;4.38
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b.wav;4.55
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_BP900_2500.wav;1.83
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_HP135_WB_AMRWB_6_6.wav;3.19
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_HP135_WB_G722_64.wav;4.37
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_IRS_NB_AMRNB_4_75.wav;2.36
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_IRS_NB_G711_A_64.wav;3.25
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_MNRU_10DB.wav;1.31
m041_bucharest_d2_2b.wav;m041_bucharest_d2_2b_SWB_EVS_16_4.wav;4.26
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b.wav;4.37
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_BP900_2500.wav;1.30
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_HP135_WB_AMRWB_6_6.wav;3.29
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_HP135_WB_G722_64.wav;4.33
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_IRS_NB_AMRNB_4_75.wav;2.42
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_IRS_NB_G711_A_64.wav;3.35
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_MNRU_10DB.wav;1.09
m041_bucharest_d3_3a3b.wav;m041_bucharest_d3_3a3b_SWB_EVS_16_4.wav;4.13
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1.wav;4.44
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_BP900_2500.wav;1.86
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_HP135_WB_AMRWB_6_6.wav;3.30
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_HP135_WB_G722_64.wav;4.35
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_IRS_NB_AMRNB_4_75.wav;2.39
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_IRS_NB_G711_A_64.wav;3.20
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_MNRU_10DB.wav;1.21
m041_bucharest_d3_3c1.wav;m041_bucharest_d3_3c1_SWB_EVS_16_4.wav;4.31
