"","spk_ID","filename","nameListener","ageListener","languageListener","genderListener","timesListenedTo","klanglos","hoch","nicht.nasal","scharf","ungleichmäßig","mit.Akzent","hell","laut","nicht.knarrend","monoton","unangenehm","undeutlich","glatt","heiser","auffällig","langsam","warm","natürlich","zittrig","präzise","fest","melodisch","entspannt","gleitend","kurz","gepresst","kraftlos","stockend","hart","unprofessionell","unbetont","schrill","verbunden","behaucht","sample_heard","dim1","dim2","dim3","dim4","dim5","class","spk_gender","spk_pseudonym","bw"
"1","008","w008_dakar_d6_IRS_NB_G711_A_64.wav","Listener067",28,"Deutsch","w",2,44,66,37,33,27,0,72,67,47,24,76,47,50,37,65,29,100,30,34,50,66,67,66,43,46,32,32,26,44,45,30,78,47,43,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.711"
"2","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener052",20,"Deustch","w",2,24,79,74,48,43,1,75,62,39,70,29,33,58,41,75,67,64,35,40,63,41,68,32,68,24,63,40,45,41,12,20,15,70,72,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"3","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener061",40,"Deutsch","w",1,32,66,100,46,68,0,46,48,46,50,63,55,47,48,50,50,48,21,47,46,46,44,45,42,43,42,44,43,42,42,44,42,42,42,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"4","008","w008_dakar_d6_IRS_NB_G711_A_64.wav","Listener065",20,"Deutsch","m",1,76,16,72,16,82,1,63,73,34,74,84,76,21,74,49,69,68,40,58,58,55,53,55,50,47,40,64,50,46,61,64,45,34,26,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.711"
"5","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener058",27,"Deustch","m",1,5,94,12,8,19,0,95,92,77,15,0,0,94,10,91,58,89,92,12,91,98,90,90,86,28,12,15,15,7,10,11,0,79,56,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"6","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener046",26,"Deutsch","w",3,15,82,54,49,13,2,80,59,53,17,18,16,74,18,61,50,57,66,12,78,79,79,81,80,54,19,15,15,43,55,18,46,59,12,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"7","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener065",20,"Deutsch","m",2,82,66,82,67,60,4,72,70,73,56,56,32,49,23,50,29,57,70,21,83,86,80,79,78,59,33,58,46,20,47,36,65,28,34,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"8","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener062",39,"Deustch","w",2,15,72,78,100,20,20,77,81,83,4,4,10,87,8,88,35,94,84,7,86,87,89,85,79,13,15,9,16,18,15,11,11,90,10,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"9","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener072",30,"Deutsch","m",1,36,58,72,68,56,10,60,62,64,33,50,32,54,50,76,52,60,56,37,68,67,64,49,50,61,33,32,53,54,54,32,77,55,82,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
"10","008","w008_dakar_d6_IRS_NB_G711_A_64.wav","Listener054",31,"Deutsch","w",1,28,46,72,50,28,33,57,56,84,46,34,29,48,30,47,45,50,81,31,60,62,64,81,54,45,22,37,37,32,47,25,34,71,51,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.711"
"11","008","w008_dakar_d6_HP135_WB_G722_64.wav","Listener071",25,"Deutsch","m",1,50,76,88,77,82,76,95,85,85,14,28,11,87,12,30,54,44,68,24,84,86,68,80,90,50,86,58,20,35,82,17,48,58,9,"w008_dakar_d6.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,"high","w","dakar","G.722"
