Participant;Filename;Rating;MOS
01_w_29;m041_bucharest_d1_1a1b_IRS_NB_AMRNB_4_75.wav;44;3.3560232
01_w_29;m041_bucharest_d1_1c_03_SWB_EVS_16_4.wav;66;4.8928288
01_w_29;m041_bucharest_d2_2b_HP135_WB_G722_64.wav;49;3.7913002
01_w_29;m041_bucharest_d3_3a3b_ref.wav;70;5.0098
01_w_29;m041_bucharest_d3_3c1_HP135_WB_AMRWB_6_6.wav;38;2.8153296
01_w_29;m041_bucharest_d3_3c2_MNRU_10DB.wav;14;1.1124912
01_w_29;m041_bucharest_d4_4a4b_IRS_NB_G711_A_64.wav;38;2.8153296
01_w_29;m041_bucharest_d4_4c_BP900_2500.wav;34;2.4594592
01_w_29;m061_alrayyan_d1_1a1b_HP135_WB_G722_64.wav;60;4.5985
01_w_29;m061_alrayyan_d1_1c_03_ref.wav;70;5.0098
01_w_29;m061_alrayyan_d2_2b_MNRU_10DB.wav;25;1.730425
01_w_29;m061_alrayyan_d3_3a3b_BP900_2500.wav;30;2.119
01_w_29;m061_alrayyan_d3_3c1_IRS_NB_AMRNB_4_75.wav;50;3.8748
01_w_29;m061_alrayyan_d3_3c2_SWB_EVS_16_4.wav;68;4.9600776
01_w_29;m061_alrayyan_d4_4a4b_HP135_WB_AMRWB_6_6.wav;38;2.8153296
01_w_29;m061_alrayyan_d4_4c_IRS_NB_G711_A_64.wav;40;2.9959
01_w_29;m096_helsinki_d1_1a1b_IRS_NB_AMRNB_4_75.wav;40;2.9959
01_w_29;m096_helsinki_d1_1c_07_MNRU_10DB.wav;18;1.2906976
01_w_29;m096_helsinki_d2_2b_IRS_NB_G711_A_64.wav;45;3.444925
01_w_29;m096_helsinki_d3_3a_01_SWB_EVS_16_4.wav;58;4.4737216
01_w_29;m096_helsinki_d3_3c1_HP135_WB_AMRWB_6_6.wav;47;3.6202734
01_w_29;m096_helsinki_d3_3c2_ref.wav;70;5.0098
01_w_29;m096_helsinki_d4_4a4b_HP135_WB_G722_64.wav;46;3.5330608
01_w_29;m096_helsinki_d4_4c_BP900_2500.wav;18;1.2906976
01_w_29;m097_basseterre_d1_1a1b_MNRU_10DB.wav;20;1.4013
01_w_29;m097_basseterre_d1_1c_08_HP135_WB_AMRWB_6_6.wav;35;2.547375
01_w_29;m097_basseterre_d2_2b_ref.wav;68;4.9600776
01_w_29;m097_basseterre_d3_3a3b_SWB_EVS_16_4.wav;65;4.853025
01_w_29;m097_basseterre_d3_3c1_HP135_WB_G722_64.wav;52;4.0369864
01_w_29;m097_basseterre_d3_3c2_IRS_NB_G711_A_64.wav;38;2.8153296
01_w_29;m097_basseterre_d4_4a4b_IRS_NB_AMRNB_4_75.wav;41;3.0862938
01_w_29;m097_basseterre_d4_4c_BP900_2500.wav;20;1.4013
01_w_29;m171_barentsburg_d1_1a1b_HP135_WB_G722_64.wav;52;4.0369864
01_w_29;m171_barentsburg_d1_1c_06_IRS_NB_G711_A_64.wav;41;3.0862938
