"IDListener","ageListener","genderListener","filename","fileDurationMs","orderPlayed","timesListenedTo","IDSpeaker","ageSpeaker","genderSpeaker","stimulusContent","stimulusDistortion","reactionTimeLikabilityMs","reactionTimePersonalityMs","durationRatingLikabilityMs","durationRatingPersonalityMs","Rating_Likability","Rating_Q1","Rating_Q2","Rating_Q3","Rating_Q4","Rating_Q5","Rating_Q6","Rating_Q7","Rating_Q8","Rating_Q9","Rating_Q10","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
1,28,"f","019_30_m_P_F.wav",18192,1,1,19,30,"m","Pizzeria","NoDistortion",16450,21558,90,29088,72,73,65,52,69,52,42,38,55,41,56,34,63,51,36,52
1,28,"f","021_30_m_P_F.wav",16859,2,1,21,30,"m","Pizzeria","NoDistortion",3718,10257,98,29890,40,36,44,41,32,65,58,55,55,45,56,61,44,57,56,45
1,28,"f","018_25_m_P_F.wav",14443,3,1,18,25,"m","Pizzeria","NoDistortion",2741,5933,95,40432,74,30,64,60,70,54,73,55,55,14,56,71,54,47,22,51
1,28,"f","022_24_m_P_F.wav",18432,4,1,22,24,"m","Pizzeria","NoDistortion",4244,7480,28779,24121,51,30,54,54,76,55,70,56,56,33,57,70,49,51,28,51
1,28,"f","006_22_m_P_F.wav",31263,5,1,6,22,"m","Pizzeria","NoDistortion",4321,7943,111,35873,64,24,78,55,41,55,55,44,55,36,56,65,67,50,47,50
1,28,"f","030_28_m_P_F.wav",18231,6,2,30,28,"m","Pizzeria","NoDistortion",8129,13962,48239,37494,42,79,35,54,66,55,45,55,53,63,54,33,40,49,48,49
1,28,"f","028_28_m_P_F.wav",19300,7,1,28,28,"m","Pizzeria","NoDistortion",4819,13647,4205,29951,45,30,33,51,39,35,53,56,54,54,54,61,38,51,57,59
1,28,"f","023_30_m_P_F.wav",17866,8,1,23,30,"m","Pizzeria","NoDistortion",7577,12832,104,39856,58,38,58,62,63,50,36,52,52,59,54,49,53,45,48,52
1,28,"f","016_21_m_P_F.wav",18303,9,1,16,21,"m","Pizzeria","NoDistortion",2683,6990,61,28757,79,27,67,54,66,55,67,49,54,32,55,70,59,50,33,50
1,28,"f","007_24_m_P_F.wav",16036,10,1,7,24,"m","Pizzeria","NoDistortion",4156,6384,107,16930,58,32,67,53,68,54,65,44,56,36,58,66,61,51,34,52
1,28,"f","005_26_m_P_F.wav",18203,11,1,5,26,"m","Pizzeria","NoDistortion",8684,13596,77,36660,56,33,61,52,61,53,41,60,54,37,56,54,50,51,38,51
1,28,"f","004_29_m_P_F.wav",16454,12,1,4,29,"m","Pizzeria","NoDistortion",3046,11308,15479,40991,63,62,42,49,52,50,50,50,50,41,53,44,46,50,44,51
1,28,"f","025_25_m_P_F.wav",32559,13,1,25,25,"m","Pizzeria","NoDistortion",4895,15463,95,28042,60,60,48,54,66,56,67,56,55,31,56,53,46,50,32,50
1,28,"f","024_21_m_P_F.wav",19924,14,1,24,21,"m","Pizzeria","NoDistortion",3602,6783,154,26077,39,20,38,74,67,50,50,59,51,38,53,65,39,38,35,51
1,28,"f","020_31_m_P_F.wav",17868,15,1,20,31,"m","Pizzeria","NoDistortion",3019,11544,3586,26208,39,68,36,62,33,34,63,64,55,44,55,47,36,46,55,60
1,28,"f","009_30_f_P_F.wav",20526,16,1,9,30,"f","Pizzeria","NoDistortion",5192,7528,149,21252,43,74,45,54,63,55,32,56,56,69,57,29,44,51,53,51
1,28,"f","002_28_f_P_F.wav",15994,17,1,2,28,"f","Pizzeria","NoDistortion",4977,21065,12999,24807,47,39,40,50,57,50,48,53,53,43,53,54,43,51,43,51
1,28,"f","012_27_f_P_F.wav",25208,18,1,12,27,"f","Pizzeria","NoDistortion",3571,8665,1579,23856,73,30,70,53,65,54,70,55,55,36,56,70,57,51,35,51
1,28,"f","029_29_f_P_F.wav",18644,19,1,29,29,"f","Pizzeria","NoDistortion",3919,8916,91,22817,42,64,64,52,58,53,44,56,55,65,56,40,54,51,53,51
1,28,"f","003_33_f_P_F.wav",21258,20,1,3,33,"f","Pizzeria","NoDistortion",2299,5923,98,20885,77,23,71,56,71,56,76,48,57,38,57,76,61,50,33,50
1,28,"f","017_29_f_P_F.wav",18079,21,1,17,29,"f","Pizzeria","NoDistortion",2521,8299,89,20248,73,37,72,53,74,54,44,56,56,34,57,53,58,51,30,51
1,28,"f","011_21_f_P_F.wav",19131,22,1,11,21,"f","Pizzeria","NoDistortion",5410,9344,127,19697,61,61,62,53,63,54,54,54,55,44,56,46,54,51,40,51
1,28,"f","015_22_f_P_F.wav",20648,23,1,15,22,"f","Pizzeria","NoDistortion",3789,8612,71,28646,72,73,54,53,62,54,45,55,56,55,54,36,49,51,46,50
1,28,"f","008_28_f_P_F.wav",17519,24,1,8,28,"f","Pizzeria","NoDistortion",3759,8015,81,29365,74,26,74,51,75,51,69,53,53,16,54,71,60,51,20,51
1,28,"f","026_20_f_P_F.wav",16357,25,1,26,20,"f","Pizzeria","NoDistortion",4413,7614,82,20470,56,65,52,52,45,52,39,52,52,45,52,37,50,50,50,50
1,28,"f","010_30_f_P_F.wav",26043,26,1,10,30,"f","Pizzeria","NoDistortion",4074,18377,3880,27428,49,70,50,51,41,50,41,51,52,62,52,35,49,50,60,51
1,28,"f","013_34_f_P_F.wav",18684,27,1,13,34,"f","Pizzeria","NoDistortion",6994,9292,93,20296,44,78,54,54,67,54,40,56,55,43,57,31,49,50,38,51
1,28,"f","027_29_f_P_F.wav",22294,28,1,27,29,"f","Pizzeria","NoDistortion",5033,7111,127,29806,59,64,53,52,59,53,53,54,54,47,55,44,49,51,44,51
1,28,"f","014_34_f_P_F.wav",16199,29,1,14,34,"f","Pizzeria","NoDistortion",6547,11194,98,29856,58,65,52,51,62,53,52,52,52,44,52,43,50,50,41,49
2,28,"f","024_21_m_P_F.wav",19922,1,2,24,21,"m","Pizzeria","NoDistortion",73981,15906,121,67532,12,14,60,74,81,28,33,15,16,47,16,59,72,21,33,44
2,28,"f","020_31_m_P_F.wav",17867,2,1,20,31,"m","Pizzeria","NoDistortion",57357,9918,1328,44231,3,19,62,83,26,83,28,13,13,82,82,54,74,15,78,49
2,28,"f","019_30_m_P_F.wav",18172,3,2,19,30,"m","Pizzeria","NoDistortion",105612,11603,108,85299,9,90,87,26,16,17,12,7,89,90,21,11,90,81,87,52
2,28,"f","016_21_m_P_F.wav",18304,4,2,16,21,"m","Pizzeria","NoDistortion",35588,27461,96,76382,77,14,81,19,87,82,89,16,15,15,81,87,82,48,14,49
2,28,"f","007_24_m_P_F.wav",16009,5,1,7,24,"m","Pizzeria","NoDistortion",13900,20390,88,47654,20,76,76,15,90,18,84,27,27,25,26,54,74,56,17,54
2,28,"f","005_26_m_P_F.wav",18201,6,2,5,26,"m","Pizzeria","NoDistortion",7074,18235,109,65877,8,81,81,21,89,89,86,18,11,31,14,52,81,45,21,12
2,28,"f","006_22_m_P_F.wav",31263,7,1,6,22,"m","Pizzeria","NoDistortion",71963,10148,101,60540,85,30,79,16,84,12,84,18,84,18,88,77,80,84,17,88
2,28,"f","004_29_m_P_F.wav",16459,8,2,4,29,"m","Pizzeria","NoDistortion",85720,8824,63,72872,19,16,87,37,85,21,87,14,84,14,8,85,86,73,14,43
2,28,"f","025_25_m_P_F.wav",32561,9,1,25,25,"m","Pizzeria","NoDistortion",63000,13091,133,46319,64,73,85,23,81,47,78,17,81,82,80,52,84,79,50,66
2,28,"f","022_24_m_P_F.wav",18432,10,2,22,24,"m","Pizzeria","NoDistortion",7851,18437,65515,52061,31,69,84,19,82,80,82,84,84,16,69,56,50,82,17,44
2,28,"f","021_30_m_P_F.wav",16889,11,1,21,30,"m","Pizzeria","NoDistortion",47349,7960,85,37631,7,85,85,41,86,85,65,17,18,70,16,40,84,38,42,15
2,28,"f","018_25_m_P_F.wav",14443,12,2,18,25,"m","Pizzeria","NoDistortion",76437,12618,117,62312,74,16,84,19,85,21,90,87,87,9,81,87,48,84,12,80
2,28,"f","030_28_m_P_F.wav",18241,13,1,30,28,"m","Pizzeria","NoDistortion",69918,10616,100,55744,26,85,81,78,75,74,43,16,74,81,13,29,82,48,53,19
2,28,"f","023_30_m_P_F.wav",17887,14,2,23,30,"m","Pizzeria","NoDistortion",16561,19382,101,47423,21,78,79,80,80,80,26,21,21,84,12,24,79,20,52,16
2,28,"f","028_28_m_P_F.wav",19318,15,2,28,28,"m","Pizzeria","NoDistortion",41700,15391,83,42483,6,84,84,83,83,13,81,23,14,82,4,48,80,15,49,45
2,28,"f","008_28_f_P_F.wav",17508,16,1,8,28,"f","Pizzeria","NoDistortion",44709,7133,101,36188,84,7,85,16,35,11,84,19,83,14,16,88,83,83,39,52
2,28,"f","017_29_f_P_F.wav",18084,17,2,17,29,"f","Pizzeria","NoDistortion",75011,11312,101,61026,56,60,52,18,72,17,26,66,44,17,12,33,43,63,22,47
2,28,"f","013_34_f_P_F.wav",18686,18,1,13,34,"f","Pizzeria","NoDistortion",6131,9761,119,47732,17,66,35,33,14,79,22,81,16,73,14,28,27,41,79,17
2,28,"f","009_30_f_P_F.wav",20522,19,2,9,30,"f","Pizzeria","NoDistortion",48142,5999,11913,32672,23,86,85,15,33,80,15,6,79,83,11,14,89,82,75,15
2,28,"f","010_30_f_P_F.wav",26023,20,1,10,30,"f","Pizzeria","NoDistortion",33657,6076,122,36278,73,21,80,14,80,12,80,82,84,21,86,79,49,85,20,87
2,28,"f","015_22_f_P_F.wav",20669,21,2,15,22,"f","Pizzeria","NoDistortion",11022,14158,126,38238,82,16,83,10,85,9,85,12,86,14,13,84,85,88,14,52
2,28,"f","003_33_f_P_F.wav",21254,22,1,3,33,"f","Pizzeria","NoDistortion",4652,14421,55268,40220,5,5,30,49,79,15,81,81,81,16,64,88,24,66,18,74
2,28,"f","026_20_f_P_F.wav",16377,23,3,26,20,"f","Pizzeria","NoDistortion",86068,19753,153,56558,27,85,85,79,63,81,77,7,7,81,6,46,89,14,59,12
2,28,"f","027_29_f_P_F.wav",22294,24,1,27,29,"f","Pizzeria","NoDistortion",22365,17655,126,34765,86,18,83,15,83,10,95,7,86,85,84,88,88,85,51,87
2,28,"f","014_34_f_P_F.wav",16185,25,2,14,34,"f","Pizzeria","NoDistortion",47632,10084,2122,73597,16,69,86,15,31,14,82,8,79,90,15,56,89,82,79,50
2,28,"f","029_29_f_P_F.wav",18656,26,2,29,29,"f","Pizzeria","NoDistortion",21118,12870,143,50591,28,20,90,16,9,11,47,7,18,98,6,63,91,51,94,47
2,28,"f","001_28_f_P_F.wav",15125,27,1,1,28,"f","Pizzeria","NoDistortion",3742,15638,79,36826,1,2,96,3,7,9,97,6,18,7,9,97,95,57,50,50
2,28,"f","012_27_f_P_F.wav",25211,28,2,12,27,"f","Pizzeria","NoDistortion",5093,13279,63033,64908,41,9,89,15,87,9,90,9,79,57,78,90,90,82,35,84
2,28,"f","011_21_f_P_F.wav",19125,29,3,11,21,"f","Pizzeria","NoDistortion",72380,11787,162,48910,35,70,86,15,8,50,79,17,48,61,14,54,84,66,76,32
3,33,"f","021_30_m_P_F.wav",16878,1,3,21,30,"m","Pizzeria","NoDistortion",6756,13428,49459,39740,75,4,69,62,94,16,74,53,46,2,67,85,58,42,4,75
3,33,"f","004_29_m_P_F.wav",16450,2,2,4,29,"m","Pizzeria","NoDistortion",3816,11284,2177,36308,0,55,50,38,52,60,55,66,48,49,39,50,42,55,48,39
3,33,"f","018_25_m_P_F.wav",14451,3,3,18,25,"m","Pizzeria","NoDistortion",7800,18648,8221,40759,45,19,39,49,60,47,55,85,50,39,49,68,27,50,39,51
3,33,"f","030_28_m_P_F.wav",18241,4,2,30,28,"m","Pizzeria","NoDistortion",9113,13085,134,35186,64,65,69,51,67,26,49,35,48,57,51,42,67,48,45,62
3,33,"f","007_24_m_P_F.wav",16024,5,3,7,24,"m","Pizzeria","NoDistortion",14636,22488,884,36337,56,39,62,50,65,31,61,49,49,42,68,61,56,49,38,68
3,33,"f","020_31_m_P_F.wav",17875,6,2,20,31,"m","Pizzeria","NoDistortion",12424,20595,5597,36575,14,18,31,59,50,62,63,50,50,42,50,72,40,45,46,44
3,33,"f","025_25_m_P_F.wav",32565,7,2,25,25,"m","Pizzeria","NoDistortion",6002,11986,1262,43046,0,66,69,51,64,51,66,38,50,38,45,50,65,49,37,47
3,33,"f","024_21_m_P_F.wav",19927,8,2,24,21,"m","Pizzeria","NoDistortion",8808,14401,2312,26599,11,16,50,50,58,37,50,39,51,38,52,67,55,50,40,57
3,33,"f","019_30_m_P_F.wav",18180,9,2,19,30,"m","Pizzeria","NoDistortion",10484,14497,133,32782,4,86,42,58,36,13,50,50,50,75,50,32,46,46,69,68
3,33,"f","005_26_m_P_F.wav",18209,10,2,5,26,"m","Pizzeria","NoDistortion",7962,13337,3543,35221,3,10,45,37,69,63,62,63,52,27,38,76,41,57,29,37
3,33,"f","016_21_m_P_F.wav",18303,11,2,16,21,"m","Pizzeria","NoDistortion",6908,17599,8442,28575,18,44,60,56,62,49,50,39,50,38,50,53,60,47,38,50
3,33,"f","022_24_m_P_F.wav",18445,12,2,22,24,"m","Pizzeria","NoDistortion",5276,15178,32536,33552,63,16,46,39,61,48,48,41,48,33,48,66,52,54,36,50
3,33,"f","028_28_m_P_F.wav",19317,13,2,28,28,"m","Pizzeria","NoDistortion",4744,12047,2365,32382,93,24,46,66,72,49,49,41,41,31,50,62,52,37,29,50
3,33,"f","006_22_m_P_F.wav",31265,14,1,6,22,"m","Pizzeria","NoDistortion",2963,6674,1072,30843,0,2,71,14,51,89,65,50,51,16,16,81,60,68,32,13
3,33,"f","023_30_m_P_F.wav",17885,15,3,23,30,"m","Pizzeria","NoDistortion",6390,10563,34275,52630,59,16,50,62,42,48,40,33,50,67,19,62,58,44,62,35
3,33,"f","014_34_f_P_F.wav",16195,16,2,14,34,"f","Pizzeria","NoDistortion",9972,11925,122,28219,56,2,71,20,69,50,68,65,49,21,38,83,53,64,26,44
3,33,"f","029_29_f_P_F.wav",18630,17,2,29,29,"f","Pizzeria","NoDistortion",7323,13315,143,34140,81,52,65,36,50,37,33,26,67,58,68,40,69,65,54,65
3,33,"f","012_27_f_P_F.wav",25209,18,2,12,27,"f","Pizzeria","NoDistortion",7583,16047,6456,29182,3,2,64,15,66,35,62,50,79,12,19,80,57,82,23,42
3,33,"f","027_29_f_P_F.wav",22284,19,2,27,29,"f","Pizzeria","NoDistortion",11649,15249,111,30810,79,45,48,53,61,33,56,37,50,33,50,55,55,48,36,58
3,33,"f","010_30_f_P_F.wav",26021,20,2,10,30,"f","Pizzeria","NoDistortion",12495,15826,203,39437,30,61,50,57,39,66,51,51,51,57,39,45,49,47,59,36
3,33,"f","017_29_f_P_F.wav",18109,21,2,17,29,"f","Pizzeria","NoDistortion",5021,8574,1175,28437,100,2,76,16,78,18,74,9,70,8,52,86,83,77,15,67
3,33,"f","009_30_f_P_F.wav",20519,22,2,9,30,"f","Pizzeria","NoDistortion",4883,9507,2322,35015,88,97,41,56,45,33,33,30,47,60,60,18,55,45,57,63
3,33,"f","001_28_f_P_F.wav",15117,23,2,1,28,"f","Pizzeria","NoDistortion",4029,6670,952,32270,0,0,54,4,7,86,98,92,51,94,51,99,31,73,93,32
3,33,"f","013_34_f_P_F.wav",18695,24,2,13,34,"f","Pizzeria","NoDistortion",4739,10044,2532,29795,74,67,37,63,63,30,33,50,50,56,50,33,43,43,46,60
