"IDListener","ageListener","genderListener","reactionTimeLikabilityMs","reactionTimePersonalityMs","durationRatingLikabilityMs","durationRatingPersonalityMs","Rating_Likability","Rating_Q1","Rating_Q2","Rating_Q3","Rating_Q4","Rating_Q5","Rating_Q6","Rating_Q7","Rating_Q8","Rating_Q9","Rating_Q10","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
"001","28","f","31799","38425","2266","33065","39","79","77","76","76","42","43","25","62","53","66","32","76","43","38","62"
"002","28","f","38903","25474","100","85590","31","18","69","58","83","3","71","87","88","11","48","76","41","65","14","72"
"003","33","f","34690","41847","52366","41958","90","35","55","56","57","1","68","59","61","45","100","66","48","52","44","99"
"004","29","m","70730","81200","501","86375","70","58","77","35","76","33","44","31","61","57","69","43","73","63","40","68"
"005","26","m","123997","127814","116","37968","34","53","63","45","81","44","57","43","72","24","86","52","60","63","21","71"
"006","22","m","81550","90457","125","55189","82","19","83","56","42","22","91","70","99","20","83","86","56","71","39","80"
"007","24","m","189995","193418","79","59113","60","72","57","86","26","0","60","54","67","48","95","44","51","40","61","97"
"008","28","f","6094","19142","2594","53692","59","49","80","59","55","10","69","2","68","31","61","60","89","54","38","75"
"009","30","f","96735","106384","154","50833","58","78","41","53","82","24","57","64","77","44","92","39","38","62","31","84"
"010","30","f","54462","57123","138","23489","50","83","41","74","56","82","53","94","64","54","61","35","23","45","49","39"
"011","21","f","101759","113245","188","40926","55","38","76","64","68","3","77","44","66","44","79","69","66","51","38","88"
"012","27","f","35267","40531","207","33831","57","28","61","50","34","32","61","33","33","69","61","66","64","41","67","64"
"013","34","f","89910","94994","137","46997","67","87","7","82","87","21","15","77","81","7","76","14","15","49","10","77"
"014","34","f","209285","219083","157","61442","79","60","43","10","43","1","82","4","99","14","99","61","69","94","35","99"
"015","22","f","260412","154213","125","89806","69","37","76","34","62","22","55","31","69","58","54","59","72","67","48","66"
"016","21","m","3408660","3294698","203","93679","70","23","78","78","41","26","72","68","80","18","64","74","55","51","38","69"
"017","29","f","368264","372199","117","27519","65","21","59","61","61","15","63","56","59","17","71","71","51","49","28","78"
"018","25","m","46821","54043","38","36974","39","64","70","79","79","95","58","24","64","43","83","47","73","42","32","44"
"019","30","m","76273","18418","4745","51961","52","41","88","56","59","49","89","57","37","29","38","74","65","40","35","44"
"020","31","m","92550","97175","109","52440","64","58","62","68","67","28","58","61","58","53","73","50","50","45","43","72"
"021","30","m","226174","247419","10895","58401","48","57","41","32","33","54","53","64","71","35","71","48","38","69","51","58"
"022","24","m","68711","80611","5013","79657","77","43","39","53","88","18","63","24","94","18","72","60","57","70","15","77"
"023","30","m","77331","89426","3844","64286","71","88","58","81","91","11","54","5","74","19","77","33","76","46","14","83"
"024","21","m","239991","15175","6556","212805","68","64","78","77","77","32","32","32","37","35","68","34","73","30","29","68"
"025","25","m","32296","42646","3227","59254","63","63","71","46","85","81","73","23","44","52","28","55","74","49","33","23"
"026","20","f","348723","358380","125","89865","36","83","40","63","77","36","24","35","69","57","75","20","52","53","40","69"
"027","29","f","120293","41731","3863","76002","64","12","42","10","82","15","78","65","61","34","79","83","38","75","26","82"
"028","28","m","387625","414644","125","54475","46","77","34","60","41","40","65","65","80","35","85","44","34","60","47","72"
"029","29","f","234815","240879","188","55117","63","70","44","78","55","12","66","31","75","69","77","48","56","48","57","82"
"030","28","m","235400","264681","185","101721","73","38","88","33","91","18","60","68","68","65","98","61","60","67","37","90"
