linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 2.184615e+01, 4.146154e+01, 4.338462e+01, 4.561538e+01, 4.353846e+01, 3.446154e+01, 5.461538e+01, 3.338462e+01, 3.592308e+01, 3.438462e+01, 4.561538e+01, 3.476923e+01, 3.507692e+01, 3.476923e+01
2.184615e+01, 0, 5.438462e+01, 3.407692e+01, 3.469231e+01, 4.530769e+01, 3.692308e+01, 4.938462e+01, 4.407692e+01, 4.092308e+01, 4.023077e+01, 5.507692e+01, 5.284615e+01, 4.115385e+01, 3.969231e+01
4.146154e+01, 5.438462e+01, 0, 5.107692e+01, 4.869231e+01, 5.176923e+01, 5.046154e+01, 4.461538e+01, 4.346154e+01, 3.330769e+01, 4.661538e+01, 2.592308e+01, 34, 4.869231e+01, 3.876923e+01
4.338462e+01, 3.407692e+01, 5.107692e+01, 0, 2.453846e+01, 4.438462e+01, 4.484615e+01, 4.815385e+01, 3.307692e+01, 3.346154e+01, 2.853846e+01, 4.661538e+01, 5.092308e+01, 3.161538e+01, 4.846154e+01
4.561538e+01, 3.469231e+01, 4.869231e+01, 2.453846e+01, 0, 4.269231e+01, 2.853846e+01, 4.984615e+01, 3.615385e+01, 3.869231e+01, 3.092308e+01, 3.823077e+01, 5.223077e+01, 4.084615e+01, 2.923077e+01
4.353846e+01, 4.530769e+01, 5.176923e+01, 4.438462e+01, 4.269231e+01, 0, 4.030769e+01, 5.907692e+01, 3.846154e+01, 4.376923e+01, 4.015385e+01, 60, 6.430769e+01, 5.038462e+01, 4.515385e+01
3.446154e+01, 3.692308e+01, 5.046154e+01, 4.484615e+01, 2.853846e+01, 4.030769e+01, 0, 4.876923e+01, 2.730769e+01, 4.023077e+01, 3.269231e+01, 3.576923e+01, 4.361538e+01, 2.961538e+01, 2.353846e+01
5.461538e+01, 4.938462e+01, 4.461538e+01, 4.815385e+01, 4.984615e+01, 5.907692e+01, 4.876923e+01, 0, 3.461538e+01, 4.046154e+01, 5.392308e+01, 2.784615e+01, 4.915385e+01, 4.030769e+01, 3.707692e+01
3.338462e+01, 4.407692e+01, 4.346154e+01, 3.307692e+01, 3.615385e+01, 3.846154e+01, 2.730769e+01, 3.461538e+01, 0, 4.153846e+01, 4.246154e+01, 3.523077e+01, 35, 3.507692e+01, 3.269231e+01
3.592308e+01, 4.092308e+01, 3.330769e+01, 3.346154e+01, 3.869231e+01, 4.376923e+01, 4.023077e+01, 4.046154e+01, 4.153846e+01, 0, 3.969231e+01, 4.946154e+01, 32, 5.246154e+01, 3.915385e+01
3.438462e+01, 4.023077e+01, 4.661538e+01, 2.853846e+01, 3.092308e+01, 4.015385e+01, 3.269231e+01, 5.392308e+01, 4.246154e+01, 3.969231e+01, 0, 4.746154e+01, 5.730769e+01, 3.715385e+01, 2.930769e+01
4.561538e+01, 5.507692e+01, 2.592308e+01, 4.661538e+01, 3.823077e+01, 60, 3.576923e+01, 2.784615e+01, 3.523077e+01, 4.946154e+01, 4.746154e+01, 0, 4.561538e+01, 5.138462e+01, 3.438462e+01
3.476923e+01, 5.284615e+01, 34, 5.092308e+01, 5.223077e+01, 6.430769e+01, 4.361538e+01, 4.915385e+01, 35, 32, 5.730769e+01, 4.561538e+01, 0, 4.446154e+01, 3.107692e+01
3.507692e+01, 4.115385e+01, 4.869231e+01, 3.161538e+01, 4.084615e+01, 5.038462e+01, 2.961538e+01, 4.030769e+01, 3.507692e+01, 5.246154e+01, 3.715385e+01, 5.138462e+01, 4.446154e+01, 0, 3.807692e+01
3.476923e+01, 3.969231e+01, 3.876923e+01, 4.846154e+01, 2.923077e+01, 4.515385e+01, 2.353846e+01, 3.707692e+01, 3.269231e+01, 3.915385e+01, 2.930769e+01, 3.438462e+01, 3.107692e+01, 3.807692e+01, 0
