linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 36, 25, 61, 83, 53, 21, 39, 24, 59, 89, 15, 40, 64, 40
36, 0, 89, 19, 21, 39, 46, 53, 20, 16, 85, 81, 58, 42, 11
25, 89, 0, 72, 60, 78, 55, 27, 25, 32, 48, 20, 60, 39, 58
61, 19, 72, 0, 10, 19, 46, 6, 9, 11, 51, 33, 40, 70, 64
83, 21, 60, 10, 0, 44, 37, 26, 37, 73, 69, 59, 53, 56, 26
53, 39, 78, 19, 44, 0, 21, 22, 21, 24, 75, 79, 75, 43, 65
21, 46, 55, 46, 37, 21, 0, 56, 56, 67, 83, 22, 65, 4, 35
39, 53, 27, 6, 26, 22, 56, 0, 22, 22, 57, 70, 19, 76, 42
24, 20, 25, 9, 37, 21, 56, 22, 0, 38, 21, 8, 30, 46, 39
59, 16, 32, 11, 73, 24, 67, 22, 38, 0, 20, 73, 17, 81, 15
89, 85, 48, 51, 69, 75, 83, 57, 21, 20, 0, 79, 83, 76, 57
15, 81, 20, 33, 59, 79, 22, 70, 8, 73, 79, 0, 68, 20, 12
40, 58, 60, 40, 53, 75, 65, 19, 30, 17, 83, 68, 0, 84, 32
64, 42, 39, 70, 56, 43, 4, 76, 46, 81, 76, 20, 84, 0, 42
40, 11, 58, 64, 26, 65, 35, 42, 39, 15, 57, 12, 32, 42, 0
