linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 30, 38, 72, 41, 53, 9, 81, 63, 20, 59, 61, 31, 71, 7
30, 0, 70, 71, 40, 33, 12, 21, 54, 61, 49, 58, 62, 77, 75
38, 70, 0, 22, 55, 12, 58, 64, 67, 24, 72, 52, 84, 61, 87
72, 71, 22, 0, 29, 58, 47, 52, 42, 14, 72, 4, 73, 23, 67
41, 40, 55, 29, 0, 73, 46, 79, 48, 51, 14, 53, 62, 54, 42
53, 33, 12, 58, 73, 0, 49, 89, 72, 59, 23, 79, 57, 45, 8
9, 12, 58, 47, 46, 49, 0, 75, 51, 49, 54, 57, 59, 39, 5
81, 21, 64, 52, 79, 89, 75, 0, 8, 9, 76, 12, 81, 9, 78
63, 54, 67, 42, 48, 72, 51, 8, 0, 67, 56, 58, 78, 27, 50
20, 61, 24, 14, 51, 59, 49, 9, 67, 0, 67, 60, 68, 59, 24
59, 49, 72, 72, 14, 23, 54, 76, 56, 67, 0, 71, 61, 67, 10
61, 58, 52, 4, 53, 79, 57, 12, 58, 60, 71, 0, 86, 68, 69
31, 62, 84, 73, 62, 57, 59, 81, 78, 68, 61, 86, 0, 92, 61
71, 77, 61, 23, 54, 45, 39, 9, 27, 59, 67, 68, 92, 0, 71
7, 75, 87, 67, 42, 8, 5, 78, 50, 24, 10, 69, 61, 71, 0
