linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 42, 80, 9, 99, 4, 69, 95, 63, 100, 39, 97, 82, 9, 20
42, 0, 76, 21, 40, 83, 100, 83, 100, 100, 10, 77, 100, 37, 79
80, 76, 0, 100, 61, 61, 9, 59, 88, 22, 40, 42, 39, 99, 3
9, 21, 100, 0, 5, 19, 100, 62, 16, 81, 3, 93, 100, 79, 100
99, 40, 61, 5, 0, 22, 9, 79, 52, 100, 25, 93, 100, 81, 19
4, 83, 61, 19, 22, 0, 21, 6, 36, 100, 30, 39, 100, 100, 32
69, 100, 9, 100, 9, 21, 0, 60, 7, 50, 4, 5, 69, 49, 11
95, 83, 59, 62, 79, 6, 60, 0, 3, 4, 79, 60, 49, 52, 3
63, 100, 88, 16, 52, 36, 7, 3, 0, 20, 21, 6, 4, 41, 12
100, 100, 22, 81, 100, 100, 50, 4, 20, 0, 40, 11, 21, 100, 78
39, 10, 40, 3, 25, 30, 4, 79, 21, 40, 0, 21, 84, 5, 10
97, 77, 42, 93, 93, 39, 5, 60, 6, 11, 21, 0, 9, 100, 80
82, 100, 39, 100, 100, 100, 69, 49, 4, 21, 84, 9, 0, 100, 39
9, 37, 99, 79, 81, 100, 49, 52, 41, 100, 5, 100, 100, 0, 41
20, 79, 3, 100, 19, 32, 11, 3, 12, 78, 10, 80, 39, 41, 0
