linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 21, 59, 62, 41, 58, 41, 99, 40, 38, 16, 100, 20, 41, 39
21, 0, 80, 42, 81, 20, 40, 99, 60, 40, 42, 99, 40, 21, 21
59, 80, 0, 79, 80, 60, 58, 21, 100, 39, 79, 39, 60, 41, 60
62, 42, 79, 0, 39, 40, 41, 100, 38, 42, 21, 60, 19, 40, 39
41, 81, 80, 39, 0, 21, 20, 99, 40, 20, 18, 41, 40, 37, 40
58, 20, 60, 40, 21, 0, 59, 100, 21, 62, 39, 99, 59, 21, 21
41, 40, 58, 41, 20, 59, 0, 99, 21, 59, 20, 59, 21, 20, 22
99, 99, 21, 100, 99, 100, 99, 0, 100, 97, 99, 62, 98, 99, 80
40, 60, 100, 38, 40, 21, 21, 100, 0, 58, 38, 98, 20, 58, 41
38, 40, 39, 42, 20, 62, 59, 97, 58, 0, 38, 100, 39, 41, 43
16, 42, 79, 21, 18, 39, 20, 99, 38, 38, 0, 60, 39, 61, 41
100, 99, 39, 60, 41, 99, 59, 62, 98, 100, 60, 0, 80, 42, 60
20, 40, 60, 19, 40, 59, 21, 98, 20, 39, 39, 80, 0, 22, 59
41, 21, 41, 40, 37, 21, 20, 99, 58, 41, 61, 42, 22, 0, 39
39, 21, 60, 39, 40, 21, 22, 80, 41, 43, 41, 60, 59, 39, 0
