linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 4, 6, 42, 37, 29, 5, 41, 40, 37, 11, 13, 21, 15, 41
4, 0, 36, 22, 17, 5, 31, 14, 25, 21, 19, 12, 35, 19, 39
6, 36, 0, 40, 31, 19, 41, 59, 41, 22, 6, 9, 5, 58, 51
42, 22, 40, 0, 39, 33, 38, 4, 42, 3, 7, 16, 29, 3, 22
37, 17, 31, 39, 0, 24, 41, 38, 9, 10, 19, 8, 16, 59, 18
29, 5, 19, 33, 24, 0, 8, 79, 60, 21, 21, 20, 8, 13, 39
5, 31, 41, 38, 41, 8, 0, 61, 5, 19, 21, 21, 5, 25, 42
41, 14, 59, 4, 38, 79, 61, 0, 21, 7, 29, 36, 58, 15, 15
40, 25, 41, 42, 9, 60, 5, 21, 0, 8, 14, 61, 38, 39, 26
37, 21, 22, 3, 10, 21, 19, 7, 8, 0, 18, 5, 12, 40, 61
11, 19, 6, 7, 19, 21, 21, 29, 14, 18, 0, 21, 19, 18, 38
13, 12, 9, 16, 8, 20, 21, 36, 61, 5, 21, 0, 22, 41, 59
21, 35, 5, 29, 16, 8, 5, 58, 38, 12, 19, 22, 0, 6, 9
15, 19, 58, 3, 59, 13, 25, 15, 39, 40, 18, 41, 6, 0, 40
41, 39, 51, 22, 18, 39, 42, 15, 26, 61, 38, 59, 9, 40, 0
