linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 46, 49, 52, 25, 46, 46, 61, 3, 17, 14, 38, 23, 24, 35
46, 0, 37, 39, 5, 39, 17, 30, 40, 37, 16, 17, 64, 29, 21
49, 37, 0, 36, 74, 29, 49, 13, 21, 6, 16, 50, 69, 17, 4
52, 39, 36, 0, 42, 13, 6, 23, 3, 19, 3, 42, 20, 3, 17
25, 5, 74, 42, 0, 6, 54, 54, 22, 3, 3, 29, 34, 20, 6
46, 39, 29, 13, 6, 0, 36, 48, 10, 46, 28, 30, 56, 41, 12
46, 17, 49, 6, 54, 36, 0, 42, 17, 6, 25, 39, 3, 18, 42
61, 30, 13, 23, 54, 48, 42, 0, 8, 41, 7, 4, 39, 66, 71
3, 40, 21, 3, 22, 10, 17, 8, 0, 52, 60, 4, 66, 26, 19
17, 37, 6, 19, 3, 46, 6, 41, 52, 0, 39, 63, 23, 15, 37
14, 16, 16, 3, 3, 28, 25, 7, 60, 39, 0, 15, 27, 29, 53
38, 17, 50, 42, 29, 30, 39, 4, 4, 63, 15, 0, 63, 45, 4
23, 64, 69, 20, 34, 56, 3, 39, 66, 23, 27, 63, 0, 40, 71
24, 29, 17, 3, 20, 41, 18, 66, 26, 15, 29, 45, 40, 0, 12
35, 21, 4, 17, 6, 12, 42, 71, 19, 37, 53, 4, 71, 12, 0
