linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 1, 77, 7, 38, 12, 34, 63, 58, 21, 14, 58, 60, 32, 57
1, 0, 76, 14, 22, 2, 45, 58, 57, 49, 1, 64, 83, 4, 27
77, 76, 0, 29, 43, 62, 42, 17, 16, 50, 52, 11, 4, 67, 21
7, 14, 29, 0, 7, 35, 26, 48, 39, 44, 29, 65, 45, 55, 14
38, 22, 43, 7, 0, 43, 6, 25, 36, 43, 21, 24, 58, 19, 38
12, 2, 62, 35, 43, 0, 70, 53, 41, 21, 6, 41, 72, 26, 60
34, 45, 42, 26, 6, 70, 0, 21, 23, 24, 42, 16, 58, 38, 21
63, 58, 17, 48, 25, 53, 21, 0, 16, 21, 41, 15, 8, 25, 6
58, 57, 16, 39, 36, 41, 23, 16, 0, 30, 42, 13, 38, 56, 12
21, 49, 50, 44, 43, 21, 24, 21, 30, 0, 22, 46, 39, 54, 18
14, 1, 52, 29, 21, 6, 42, 41, 42, 22, 0, 37, 38, 2, 43
58, 64, 11, 65, 24, 41, 16, 15, 13, 46, 37, 0, 4, 59, 20
60, 83, 4, 45, 58, 72, 58, 8, 38, 39, 38, 4, 0, 49, 21
32, 4, 67, 55, 19, 26, 38, 25, 56, 54, 2, 59, 49, 0, 62
57, 27, 21, 14, 38, 60, 21, 6, 12, 18, 43, 20, 21, 62, 0
