linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 20, 38, 60, 38, 42, 40, 40, 40, 40, 19, 39, 41, 42, 40
20, 0, 41, 22, 41, 51, 39, 21, 57, 19, 21, 40, 12, 40, 41
38, 41, 0, 19, 41, 60, 40, 60, 14, 45, 21, 23, 39, 40, 22
60, 22, 19, 0, 40, 60, 16, 41, 38, 19, 13, 25, 61, 19, 41
38, 41, 41, 40, 0, 40, 19, 40, 19, 21, 18, 40, 38, 8, 20
42, 51, 60, 60, 40, 0, 60, 40, 40, 31, 10, 40, 21, 60, 42
40, 39, 40, 16, 19, 60, 0, 38, 37, 34, 20, 41, 43, 12, 8
40, 21, 60, 41, 40, 40, 38, 0, 25, 20, 21, 19, 37, 39, 21
40, 57, 14, 38, 19, 40, 37, 25, 0, 21, 40, 20, 61, 15, 26
40, 19, 45, 19, 21, 31, 34, 20, 21, 0, 41, 40, 62, 18, 11
19, 21, 21, 13, 18, 10, 20, 21, 40, 41, 0, 40, 60, 45, 18
39, 40, 23, 25, 40, 40, 41, 19, 20, 40, 40, 0, 58, 21, 13
41, 12, 39, 61, 38, 21, 43, 37, 61, 62, 60, 58, 0, 41, 42
42, 40, 40, 19, 8, 60, 12, 39, 15, 18, 45, 21, 41, 0, 8
40, 41, 22, 41, 20, 42, 8, 21, 26, 11, 18, 13, 42, 8, 0
