linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 5, 11, 73, 33, 91, 34, 47, 31, 32, 8, 47, 30, 33, 33
5, 0, 50, 54, 69, 97, 71, 12, 12, 11, 59, 16, 40, 96, 72
11, 50, 0, 96, 39, 97, 51, 93, 56, 54, 71, 14, 9, 93, 21
73, 54, 96, 0, 21, 12, 54, 75, 74, 87, 11, 92, 94, 21, 100
33, 69, 39, 21, 0, 93, 8, 33, 29, 10, 18, 53, 54, 14, 41
91, 97, 97, 12, 93, 0, 11, 99, 55, 96, 51, 92, 99, 94, 71
34, 71, 51, 54, 8, 11, 0, 71, 30, 49, 8, 71, 77, 5, 18
47, 12, 93, 75, 33, 99, 71, 0, 48, 14, 33, 8, 60, 100, 66
31, 12, 56, 74, 29, 55, 30, 48, 0, 8, 92, 51, 9, 50, 41
32, 11, 54, 87, 10, 96, 49, 14, 8, 0, 92, 9, 8, 26, 71
8, 59, 71, 11, 18, 51, 8, 33, 92, 92, 0, 54, 96, 10, 7
47, 16, 14, 92, 53, 92, 71, 8, 51, 9, 54, 0, 10, 96, 49
30, 40, 9, 94, 54, 99, 77, 60, 9, 8, 96, 10, 0, 85, 15
33, 96, 93, 21, 14, 94, 5, 100, 50, 26, 10, 96, 85, 0, 3
33, 72, 21, 100, 41, 71, 18, 66, 41, 71, 7, 49, 15, 3, 0
