linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 6, 17, 35, 18, 3, 50, 41, 4, 3, 42, 23, 4, 25, 43
6, 0, 20, 4, 4, 25, 3, 68, 10, 4, 4, 61, 38, 19, 59
17, 20, 0, 17, 13, 30, 55, 13, 4, 32, 46, 24, 7, 3, 13
35, 4, 17, 0, 12, 79, 19, 10, 42, 59, 82, 32, 4, 10, 13
18, 4, 13, 12, 0, 1, 20, 33, 29, 32, 6, 60, 50, 57, 13
3, 25, 30, 79, 1, 0, 65, 83, 57, 3, 43, 58, 79, 77, 80
50, 3, 55, 19, 20, 65, 0, 8, 6, 18, 50, 58, 10, 63, 32
41, 68, 13, 10, 33, 83, 8, 0, 53, 63, 62, 4, 3, 6, 3
4, 10, 4, 42, 29, 57, 6, 53, 0, 58, 60, 2, 8, 4, 13
3, 4, 32, 59, 32, 3, 18, 63, 58, 0, 20, 79, 29, 64, 49
42, 4, 46, 82, 6, 43, 50, 62, 60, 20, 0, 79, 40, 78, 26
23, 61, 24, 32, 60, 58, 58, 4, 2, 79, 79, 0, 2, 9, 3
4, 38, 7, 4, 50, 79, 10, 3, 8, 29, 40, 2, 0, 4, 3
25, 19, 3, 10, 57, 77, 63, 6, 4, 64, 78, 9, 4, 0, 10
43, 59, 13, 13, 13, 80, 32, 3, 13, 49, 26, 3, 3, 10, 0
