linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 25, 49, 30, 60, 80, 59, 81, 11, 56, 25, 29, 33, 26, 42
25, 0, 43, 29, 74, 88, 20, 56, 69, 61, 69, 67, 18, 70, 33
49, 43, 0, 55, 36, 58, 63, 46, 50, 55, 80, 24, 9, 60, 64
30, 29, 55, 0, 25, 90, 91, 88, 62, 6, 25, 73, 33, 44, 57
60, 74, 36, 25, 0, 97, 26, 25, 6, 68, 51, 4, 60, 1, 4
80, 88, 58, 90, 97, 0, 90, 95, 63, 34, 83, 67, 85, 75, 84
59, 20, 63, 91, 26, 90, 0, 60, 68, 52, 71, 34, 19, 40, 3
81, 56, 46, 88, 25, 95, 60, 0, 90, 78, 89, 10, 78, 6, 67
11, 69, 50, 62, 6, 63, 68, 90, 0, 64, 80, 12, 24, 41, 33
56, 61, 55, 6, 68, 34, 52, 78, 64, 0, 15, 43, 54, 89, 69
25, 69, 80, 25, 51, 83, 71, 89, 80, 15, 0, 85, 59, 60, 50
29, 67, 24, 73, 4, 67, 34, 10, 12, 43, 85, 0, 45, 53, 19
33, 18, 9, 33, 60, 85, 19, 78, 24, 54, 59, 45, 0, 31, 31
26, 70, 60, 44, 1, 75, 40, 6, 41, 89, 60, 53, 31, 0, 61
42, 33, 64, 57, 4, 84, 3, 67, 33, 69, 50, 19, 31, 61, 0
