linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 25, 79, 42, 69, 82, 21, 4, 36, 34, 78, 63, 54, 35, 24
25, 0, 77, 56, 24, 83, 46, 100, 30, 100, 100, 100, 98, 44, 25
79, 77, 0, 88, 92, 74, 100, 100, 39, 35, 64, 17, 30, 32, 97
42, 56, 88, 0, 38, 99, 58, 100, 21, 38, 36, 58, 89, 29, 53
69, 24, 92, 38, 0, 83, 60, 100, 100, 35, 100, 29, 93, 100, 100
82, 83, 74, 99, 83, 0, 20, 29, 20, 57, 96, 98, 92, 24, 22
21, 46, 100, 58, 60, 20, 0, 12, 21, 88, 7, 25, 94, 48, 62
4, 100, 100, 100, 100, 29, 12, 0, 37, 100, 54, 40, 99, 19, 24
36, 30, 39, 21, 100, 20, 21, 37, 0, 93, 23, 100, 51, 41, 100
34, 100, 35, 38, 35, 57, 88, 100, 93, 0, 92, 92, 36, 86, 26
78, 100, 64, 36, 100, 96, 7, 54, 23, 92, 0, 33, 98, 29, 20
63, 100, 17, 58, 29, 98, 25, 40, 100, 92, 33, 0, 97, 97, 43
54, 98, 30, 89, 93, 92, 94, 99, 51, 36, 98, 97, 0, 5, 4
35, 44, 32, 29, 100, 24, 48, 19, 41, 86, 29, 97, 5, 0, 100
24, 25, 97, 53, 100, 22, 62, 24, 100, 26, 20, 43, 4, 100, 0
