linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 23, 11, 19, 11, 13, 19, 18, 21, 10, 33, 10, 13, 39, 31
23, 0, 12, 50, 13, 24, 10, 27, 39, 13, 48, 24, 39, 37, 13
11, 12, 0, 11, 8, 33, 35, 8, 44, 17, 11, 12, 27, 23, 3
19, 50, 11, 0, 12, 20, 41, 17, 4, 12, 18, 13, 55, 15, 43
11, 13, 8, 12, 0, 8, 25, 17, 43, 37, 40, 4, 21, 25, 13
13, 24, 33, 20, 8, 0, 14, 25, 4, 15, 17, 38, 33, 36, 51
19, 10, 35, 41, 25, 14, 0, 31, 13, 8, 20, 17, 44, 24, 5
18, 27, 8, 17, 17, 25, 31, 0, 19, 50, 54, 22, 10, 12, 6
21, 39, 44, 4, 43, 4, 13, 19, 0, 23, 5, 25, 28, 12, 13
10, 13, 17, 12, 37, 15, 8, 50, 23, 0, 12, 22, 8, 9, 7
33, 48, 11, 18, 40, 17, 20, 54, 5, 12, 0, 22, 41, 3, 8
10, 24, 12, 13, 4, 38, 17, 22, 25, 22, 22, 0, 49, 17, 16
13, 39, 27, 55, 21, 33, 44, 10, 28, 8, 41, 49, 0, 19, 17
39, 37, 23, 15, 25, 36, 24, 12, 12, 9, 3, 17, 19, 0, 6
31, 13, 3, 43, 13, 51, 5, 6, 13, 7, 8, 16, 17, 6, 0
