linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0
1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1
0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1
0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0
1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1
1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1
0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1
1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
