linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 4, 13, 7, 7, 5, 7, 12, 12, 11, 6, 11, 9, 7, 7
9, 0, 10, 8, 8, 3, 9, 10, 10, 8, 3, 12, 7, 6, 11
0, 3, 0, 4, 3, 1, 2, 9, 6, 6, 1, 9, 7, 4, 6
6, 5, 9, 0, 7, 3, 7, 13, 9, 9, 2, 11, 9, 7, 9
6, 5, 10, 6, 0, 4, 8, 12, 9, 7, 3, 11, 8, 7, 8
8, 10, 12, 10, 9, 0, 11, 11, 12, 11, 6, 13, 9, 8, 12
6, 4, 11, 6, 5, 2, 0, 11, 9, 9, 3, 11, 8, 6, 8
1, 3, 4, 0, 1, 2, 2, 0, 5, 5, 1, 4, 5, 1, 6
1, 3, 7, 4, 4, 1, 4, 8, 0, 5, 2, 10, 6, 6, 8
2, 5, 7, 4, 6, 2, 4, 8, 8, 0, 4, 9, 7, 4, 7
7, 10, 12, 11, 10, 7, 10, 12, 11, 9, 0, 12, 10, 10, 12
2, 1, 4, 2, 2, 0, 2, 9, 3, 4, 1, 0, 4, 0, 6
4, 6, 6, 4, 5, 4, 5, 8, 7, 6, 3, 9, 0, 7, 5
6, 7, 9, 6, 6, 5, 7, 12, 7, 9, 3, 13, 6, 0, 7
6, 2, 7, 4, 5, 1, 5, 7, 5, 6, 1, 7, 8, 6, 0
