"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.2:selections","Answer.3:sliders","Answer.4:selections","DynamicContent.audioSamples"
"FE4A19A5E130486","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","76","2016.08.29 17:01:39 +0000","2016.08.29 17:01:40 +0000","2016.08.29 17:02:56 +0000","2016.08.31 11:28:31 +0000","","2016.09.03 17:02:56 +0000","1970.01.01 00:00:00 +0000","0","145","2","https://api.crowdee.de/v1/files/6973fa0e27312d31e32c8ac3d42a3715"
"6798E4111F53198","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","34","2016.08.29 17:02:58 +0000","2016.08.29 17:02:59 +0000","2016.08.29 17:03:34 +0000","2016.09.01 10:44:20 +0000","","2016.09.03 17:03:34 +0000","1970.01.01 00:00:00 +0000","0","176","2","https://api.crowdee.de/v1/files/5fe5ccbc32616786639e1f0e3b12a31e"
"65DAE5034485AE0","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","42","2016.08.29 17:03:35 +0000","2016.08.29 17:03:36 +0000","2016.08.29 17:04:18 +0000","2016.09.01 10:44:20 +0000","","2016.09.03 17:04:18 +0000","1970.01.01 00:00:00 +0000","0","94","2","https://api.crowdee.de/v1/files/8ed5fb2cb2208b842a7e4c8e38ab60b4"
"F68902446BB8836","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","33","2016.08.29 17:04:20 +0000","2016.08.29 17:04:21 +0000","2016.08.29 17:04:54 +0000","2016.09.01 10:44:20 +0000","","2016.09.03 17:04:54 +0000","1970.01.01 00:00:00 +0000","0","90","2","https://api.crowdee.de/v1/files/48249e083dbb3bcef8c2fd32fba5b41e"
"ECD54341BFBD958","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","28","2016.08.29 17:04:56 +0000","2016.08.29 17:04:56 +0000","2016.08.29 17:05:24 +0000","2016.09.01 10:44:20 +0000","","2016.09.03 17:05:24 +0000","1970.01.01 00:00:00 +0000","0","184","2","https://api.crowdee.de/v1/files/99dc93538d86320be6cde5bb2124cec7"
"8A9849B9ECAB015","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","26","2016.08.29 17:05:26 +0000","2016.08.29 17:05:27 +0000","2016.08.29 17:05:53 +0000","2016.09.01 10:44:21 +0000","","2016.09.03 17:05:53 +0000","1970.01.01 00:00:00 +0000","0","177","2","https://api.crowdee.de/v1/files/54562f7430a73369138e315acb85cffe"
"F87439458F54A80","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","26","2016.08.29 17:05:56 +0000","2016.08.29 17:05:56 +0000","2016.08.29 17:06:22 +0000","2016.09.01 10:44:21 +0000","","2016.09.03 17:06:22 +0000","1970.01.01 00:00:00 +0000","0","51","2","https://api.crowdee.de/v1/files/8f8d6e62a876bd230ce30230bfee9ca9"
"A4D33AF19A1631C","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","30","2016.08.29 17:06:24 +0000","2016.08.29 17:06:24 +0000","2016.08.29 17:06:55 +0000","2016.09.01 10:44:21 +0000","","2016.09.03 17:06:55 +0000","1970.01.01 00:00:00 +0000","0","56","2","https://api.crowdee.de/v1/files/6abbcbda295934d860f12b9b9b27a07f"
"F6AD5F0D7B60CEF","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","32","2016.08.29 17:06:57 +0000","2016.08.29 17:06:57 +0000","2016.08.29 17:07:30 +0000","2016.09.01 10:44:21 +0000","","2016.09.03 17:07:30 +0000","1970.01.01 00:00:00 +0000","0","46","2","https://api.crowdee.de/v1/files/86518088cba518d0d6794c89ccc0b811"
"4CE7F98AC3746F6","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","24","2016.08.29 17:07:32 +0000","2016.08.29 17:07:32 +0000","2016.08.29 17:07:57 +0000","2016.09.01 10:44:21 +0000","","2016.09.03 17:07:57 +0000","1970.01.01 00:00:00 +0000","0","70","2","https://api.crowdee.de/v1/files/28a8cf69de52b8d94ec863b73185d93f"
"D7F0060DAC3F29A","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","21","2016.08.29 17:08:00 +0000","2016.08.29 17:08:00 +0000","2016.08.29 17:08:21 +0000","2016.09.01 10:44:21 +0000","","2016.09.03 17:08:21 +0000","1970.01.01 00:00:00 +0000","0","148","2","https://api.crowdee.de/v1/files/bada7a93b427731e220d638622ec105d"
"8C9659550A75D46","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","23","2016.08.29 17:08:23 +0000","2016.08.29 17:08:23 +0000","2016.08.29 17:08:47 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:08:47 +0000","1970.01.01 00:00:00 +0000","0","171","2","https://api.crowdee.de/v1/files/063be33cb56519eaef97843b98d5a412"
"B63E158EFB1FABD","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","25","2016.08.29 17:08:49 +0000","2016.08.29 17:08:50 +0000","2016.08.29 17:09:15 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:09:15 +0000","1970.01.01 00:00:00 +0000","0","172","2","https://api.crowdee.de/v1/files/2ab2b8c377221232bf3ef0b78ac5850f"
"568D6C0F1E922EC","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","28","2016.08.29 17:09:17 +0000","2016.08.29 17:09:17 +0000","2016.08.29 17:09:45 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:09:45 +0000","1970.01.01 00:00:00 +0000","0","104","2","https://api.crowdee.de/v1/files/cdc4cf931b2e210a02931b3a3f9980fb"
"C52664B39711319","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","25","2016.08.29 17:09:47 +0000","2016.08.29 17:09:47 +0000","2016.08.29 17:10:13 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:10:13 +0000","1970.01.01 00:00:00 +0000","0","61","2","https://api.crowdee.de/v1/files/22bc3cb08e67bb341ec9c4981e396b2e"
"2EC3BD35E45C52C","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","24","2016.08.29 17:10:45 +0000","2016.08.29 17:10:46 +0000","2016.08.29 17:11:10 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:11:10 +0000","1970.01.01 00:00:00 +0000","0","147","2","https://api.crowdee.de/v1/files/67a524dc82f13b5cd487c39a72f047ed"
"D993DCA6D4D77AD","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","27","2016.08.29 17:11:12 +0000","2016.08.29 17:11:12 +0000","2016.08.29 17:11:40 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:11:40 +0000","1970.01.01 00:00:00 +0000","0","86","2","https://api.crowdee.de/v1/files/faae4b7e06d3e666c2c698da22e74842"
"154388ACD949D94","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","26","2016.08.29 17:11:41 +0000","2016.08.29 17:11:42 +0000","2016.08.29 17:12:09 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:12:09 +0000","1970.01.01 00:00:00 +0000","0","127","2","https://api.crowdee.de/v1/files/5fe5ccbc32616786639e1f0e3b12a31e"
"9BA15F77B8CF897","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","21","2016.08.29 17:12:10 +0000","2016.08.29 17:12:11 +0000","2016.08.29 17:12:32 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:12:32 +0000","1970.01.01 00:00:00 +0000","0","176","2","https://api.crowdee.de/v1/files/9f85d6cc6ddca1627c4df381d878aa63"
"CAF827C5E00FB5F","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","29","2016.08.29 17:12:34 +0000","2016.08.29 17:12:34 +0000","2016.08.29 17:13:04 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:13:04 +0000","1970.01.01 00:00:00 +0000","0","14","2","https://api.crowdee.de/v1/files/a268cacb4cb8060b042a5f04a07df4c0"
"E8378271520F1EF","Sympathie_2016-07-19T09:06:50.175Z","531CD86972","ACCEPTED","25","2016.08.29 17:13:05 +0000","2016.08.29 17:13:06 +0000","2016.08.29 17:13:32 +0000","2016.08.31 14:48:35 +0000","","2016.09.03 17:13:32 +0000","1970.01.01 00:00:00 +0000","0","34","2","https://api.crowdee.de/v1/files/c9e02328b216feb646624de7261ad05c"
