"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.4:freetext","Answer.5:selections","Answer.5:freetext","Answer.6:selections","Answer.6:freetext","Answer.7:freetext"
"7A745B6E24219DD","Sympathie_2016-07-20T09:32:23.991Z","3BC2BC7005","AUTOMATICALLY_ACCEPTED","139","2016.08.29 16:32:58 +0000","2016.08.29 16:32:59 +0000","2016.08.29 16:35:19 +0000","2016.08.29 16:35:19 +0000","","2016.08.29 16:35:19 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/3ed69af8d192d29ef16f27a3411c2018","4","0","1","","1","","6","","18"
"838A2C61015EEDC","Sympathie_2016-07-20T09:32:23.991Z","531CD86972","AUTOMATICALLY_ACCEPTED","162","2016.08.29 16:58:38 +0000","2016.08.29 16:58:38 +0000","2016.08.29 17:01:20 +0000","2016.08.29 17:01:20 +0000","","2016.08.29 17:01:20 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/545fab57b94719662d17b127ff359e4a","4","0","8,2,4","","1","","6","","32"
"AA8F2D52F072BFD","Sympathie_2016-07-20T09:32:23.991Z","8DF73C031C","AUTOMATICALLY_ACCEPTED","96","2016.08.29 18:56:01 +0000","2016.08.29 18:56:01 +0000","2016.08.29 18:57:38 +0000","2016.08.29 18:57:38 +0000","","2016.08.29 18:57:38 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/78a41e2fcf2374c3cac49cc82696b8d2","4","0","2,8,1,7","","1,2","","0","Laienchor","35"
"A8CB8047A0945AC","Sympathie_2016-07-20T09:32:23.991Z","3BC2BC7005","AUTOMATICALLY_ACCEPTED","102","2016.08.29 18:57:06 +0000","2016.08.29 18:57:07 +0000","2016.08.29 18:58:49 +0000","2016.08.29 18:58:49 +0000","","2016.08.29 18:58:49 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/85cc89246fa6e2c2bfec755a78abbede","4","0","1","","1","","6","","18"
"807CAFF25738FBF","Sympathie_2016-07-20T09:32:23.991Z","20486ACBCA","AUTOMATICALLY_ACCEPTED","68","2016.08.30 07:49:04 +0000","2016.08.30 07:49:04 +0000","2016.08.30 07:50:12 +0000","2016.08.30 07:50:13 +0000","","2016.08.30 07:50:12 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/100e4048551881e5a703a54b817f555b","4","0","9","","4","","6","","34"
"913C177B987974F","Sympathie_2016-07-20T09:32:23.991Z","13B72EB3B9","AUTOMATICALLY_ACCEPTED","103","2016.08.30 09:08:37 +0000","2016.08.30 09:08:37 +0000","2016.08.30 09:10:21 +0000","2016.08.30 09:10:21 +0000","","2016.08.30 09:10:21 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/52a41a13ffeff7be8ee96668040fca3e","4","0","9","","4","","6","","57"
"5042031397DCD5A","Sympathie_2016-07-20T09:32:23.991Z","9FC9F004BF","AUTOMATICALLY_ACCEPTED","121","2016.08.30 09:44:33 +0000","2016.08.30 09:44:33 +0000","2016.08.30 09:46:34 +0000","2016.08.30 09:46:35 +0000","","2016.08.30 09:46:34 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/a4bdff24efa82b4818263cc02a6ae38f","4","0","8","","4","","6","","26"
"E0BFEE0AFC03410","Sympathie_2016-07-20T09:32:23.991Z","8794B6399B","AUTOMATICALLY_ACCEPTED","139","2016.08.30 10:01:20 +0000","2016.08.30 10:01:21 +0000","2016.08.30 10:03:40 +0000","2016.08.30 10:03:41 +0000","","2016.08.30 10:03:40 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/8b309a7f0de5b306a172018b6a7642ca","4","0","9","","4","","6","","26"
"67177E5D53411B6","Sympathie_2016-07-20T09:32:23.991Z","208171B294","AUTOMATICALLY_ACCEPTED","218","2016.08.30 10:36:33 +0000","2016.08.30 10:36:34 +0000","2016.08.30 10:40:13 +0000","2016.08.30 10:40:13 +0000","","2016.08.30 10:40:13 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/a5ae880a6add8f6009489d300128957f","4","0","9","","4","","6","","47"
"50A24A1CCDE9258","Sympathie_2016-07-20T09:32:23.991Z","C0CD5FC745","AUTOMATICALLY_ACCEPTED","141","2016.08.30 11:23:49 +0000","2016.08.30 11:23:49 +0000","2016.08.30 11:26:11 +0000","2016.08.30 11:26:11 +0000","","2016.08.30 11:26:11 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/058c7f1fc321e714d151fbaebbbbc75c","0","0","0,4,2,1","E-Bass  Klarinette","2","","1,2","","22"
