linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 2021, 1302, 1469, 1479, 1952, 1712, 2586, 1304, 1927, 1356, 2038, 1110, 1930, 1352
2021, 0, 2050, 1238, 1682, 2437, 1557, 1116, 1717, 1524, 1275, 772, 2019, 1576, 1857
1302, 2050, 0, 1555, 1739, 1112, 1987, 1730, 1433, 1745, 2146, 1360, 1333, 1315, 1632
1469, 1238, 1555, 0, 1788, 1962, 1474, 919, 1692, 1539, 959, 1390, 1726, 2225, 1336
1479, 1682, 1739, 1788, 0, 981, 2258, 2067, 1239, 1408, 1578, 1869, 1887, 1566, 1932
1952, 2437, 1112, 1962, 981, 0, 1805, 1480, 1863, 828, 1683, 1077, 1651, 1025, 2023
1712, 1557, 1987, 1474, 2258, 1805, 0, 2158, 1361, 1577, 1958, 1676, 1757, 1837, 2376
2586, 1116, 1730, 919, 2067, 1480, 2158, 0, 1126, 2066, 1188, 1904, 923, 2363, 1242
1304, 1717, 1433, 1692, 1239, 1863, 1361, 1126, 0, 1357, 2290, 1501, 1616, 1966, 1659
1927, 1524, 1745, 1539, 1408, 828, 1577, 2066, 1357, 0, 966, 1573, 1259, 1522, 1180
1356, 1275, 2146, 959, 1578, 1683, 1958, 1188, 2290, 966, 0, 2367, 1103, 2041, 1050
2038, 772, 1360, 1390, 1869, 1077, 1676, 1904, 1501, 1573, 2367, 0, 1525, 1993, 1343
1110, 2019, 1333, 1726, 1887, 1651, 1757, 923, 1616, 1259, 1103, 1525, 0, 1845, 1945
1930, 1576, 1315, 2225, 1566, 1025, 1837, 2363, 1966, 1522, 2041, 1993, 1845, 0, 2384
1352, 1857, 1632, 1336, 1932, 2023, 2376, 1242, 1659, 1180, 1050, 1343, 1945, 2384, 0
