linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 1477, 912, 1469, 1261, 1361, 1321, 1912, 1169, 1705, 1190, 2038, 1005, 1639, 1185
1477, 0, 1516, 1084, 1455, 1673, 1481, 843, 1559, 1434, 1214, 744, 1507, 1326, 1400
912, 1516, 0, 1157, 1497, 636, 1216, 1628, 1313, 1309, 1678, 1267, 1234, 1130, 1433
1469, 1084, 1157, 0, 1385, 1855, 1474, 854, 1400, 1096, 950, 1036, 1422, 1540, 1336
1261, 1455, 1497, 1385, 0, 800, 1608, 1623, 1169, 1271, 1541, 1536, 1178, 1566, 1655
1361, 1673, 636, 1855, 800, 0, 1551, 805, 1595, 796, 1390, 795, 1450, 935, 1753
1321, 1481, 1216, 1474, 1608, 1551, 0, 1746, 1059, 1390, 1525, 1520, 1757, 1330, 1461
1912, 843, 1628, 854, 1623, 805, 1746, 0, 909, 1588, 867, 1501, 923, 1792, 1175
1169, 1559, 1313, 1400, 1169, 1595, 1059, 909, 0, 1247, 1587, 1039, 1399, 1417, 1202
1705, 1434, 1309, 1096, 1271, 796, 1390, 1588, 1247, 0, 789, 1088, 1256, 1188, 1111
1190, 1214, 1678, 950, 1541, 1390, 1525, 867, 1587, 789, 0, 1718, 857, 1775, 859
2038, 744, 1267, 1036, 1536, 795, 1520, 1501, 1039, 1088, 1718, 0, 1069, 1645, 1166
1005, 1507, 1234, 1422, 1178, 1450, 1757, 923, 1399, 1256, 857, 1069, 0, 1497, 1333
1639, 1326, 1130, 1540, 1566, 935, 1330, 1792, 1417, 1188, 1775, 1645, 1497, 0, 1593
1185, 1400, 1433, 1336, 1655, 1753, 1461, 1175, 1202, 1111, 859, 1166, 1333, 1593, 0
