linden,nicosia,rabat,klaksvik,beirut,rotterdam,banjul,edinburghofthesevenseas,dakhla,marseille,malabo,kigali,westbay,debrecen,sanaa
0, 10, 14, 10, 9, 9, 12, 16, 8, 11, 10, 13, 8, 10, 9
8, 0, 11, 12, 8, 3, 9, 12, 10, 8, 5, 14, 11, 9, 10
3, 6, 0, 8, 7, 2, 7, 10, 8, 8, 5, 6, 9, 5, 4
3, 3, 9, 0, 9, 4, 8, 11, 8, 10, 3, 11, 9, 9, 7
7, 7, 9, 10, 0, 3, 7, 13, 8, 7, 5, 11, 13, 9, 3
8, 16, 15, 11, 12, 0, 10, 15, 9, 14, 9, 14, 9, 11, 11
6, 5, 11, 5, 12, 6, 0, 14, 12, 9, 4, 8, 1, 9, 8
3, 4, 4, 3, 4, 6, 3, 0, 4, 5, 3, 4, 4, 3, 5
6, 5, 7, 8, 6, 7, 5, 11, 0, 7, 5, 8, 6, 10, 9
4, 7, 11, 8, 8, 1, 5, 12, 7, 0, 3, 10, 5, 6, 4
6, 11, 12, 11, 9, 6, 12, 15, 13, 14, 0, 14, 11, 14, 13
0, 1, 9, 7, 4, 3, 7, 12, 9, 6, 4, 0, 7, 3, 5
6, 5, 6, 7, 7, 5, 12, 9, 9, 9, 5, 11, 0, 10, 5
5, 6, 10, 13, 4, 4, 8, 16, 7, 10, 1, 12, 7, 0, 12
5, 7, 10, 6, 12, 6, 13, 9, 8, 12, 2, 11, 11, 8, 0
