"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.5:freetext"
"83F9B06BDF3176E","Sympathie_2016-11-02T12:28:51.716Z","7E4F3B3A42","AUTOMATICALLY_ACCEPTED","123","2016.12.01 18:49:09 +0000","2016.12.01 18:49:09 +0000","2016.12.01 18:51:13 +0000","2016.12.01 18:51:13 +0000","","2016.12.01 18:51:13 +0000","2016.12.01 18:51:13 +0000","https://api.crowdee.de/v1/files/e4d7fe75bc7758f03bc9fa2d9e01ae9a","1","4","0","28"
"887725DD94B2CD1","Sympathie_2016-11-02T12:28:51.716Z","1520A16384","AUTOMATICALLY_ACCEPTED","97","2016.12.01 19:32:51 +0000","2016.12.01 19:32:52 +0000","2016.12.01 19:34:30 +0000","2016.12.01 19:34:30 +0000","","2016.12.01 19:34:30 +0000","2016.12.01 19:34:30 +0000","https://api.crowdee.de/v1/files/4a9bc461d875b01320bd90844c177e56","1","4","0","24"
"A7EE75EF9820ACF","Sympathie_2016-11-02T12:28:51.716Z","527A622A00","AUTOMATICALLY_ACCEPTED","123","2016.12.01 20:27:03 +0000","2016.12.01 20:27:03 +0000","2016.12.01 20:29:07 +0000","2016.12.01 20:29:07 +0000","","2016.12.01 20:29:07 +0000","2016.12.01 20:29:07 +0000","https://api.crowdee.de/v1/files/aa7f0f9bf1f40c94c6de79249a9f9871","1","4","1","27"
"7206163C7CFAD23","Sympathie_2016-11-02T12:28:51.716Z","3DCE5C4FB7","AUTOMATICALLY_ACCEPTED","90","2016.12.01 21:00:37 +0000","2016.12.01 21:00:37 +0000","2016.12.01 21:02:08 +0000","2016.12.01 21:02:08 +0000","","2016.12.01 21:02:08 +0000","2016.12.01 21:02:08 +0000","https://api.crowdee.de/v1/files/cbf1f093b8d182fe9baf863e6dfa79d9","1","4","0","24"
"494F1AA8CEC7E0A","Sympathie_2016-11-02T12:28:51.716Z","9225161B3E","AUTOMATICALLY_ACCEPTED","160","2016.12.01 21:18:58 +0000","2016.12.01 21:18:58 +0000","2016.12.01 21:21:39 +0000","2016.12.01 21:21:39 +0000","","2016.12.01 21:21:39 +0000","2016.12.01 21:21:39 +0000","https://api.crowdee.de/v1/files/9d09d72a17cd884f9589d4373f221a46","1","4","1","21"
"2587280D7A567C4","Sympathie_2016-11-02T12:28:51.716Z","E748D176AF","AUTOMATICALLY_ACCEPTED","90","2016.12.01 22:55:49 +0000","2016.12.01 22:55:49 +0000","2016.12.01 22:57:20 +0000","2016.12.01 22:57:20 +0000","","2016.12.01 22:57:20 +0000","2016.12.01 22:57:20 +0000","https://api.crowdee.de/v1/files/b7048fc6d321be66b4b48b958d2f8305","1","4","0","20"
"FBCDBA37ECC2E8E","Sympathie_2016-11-02T12:28:51.716Z","70A8732199","AUTOMATICALLY_ACCEPTED","152","2016.12.02 00:00:02 +0000","2016.12.02 00:00:03 +0000","2016.12.02 00:02:35 +0000","2016.12.02 00:02:35 +0000","","2016.12.02 00:02:35 +0000","2016.12.02 00:02:35 +0000","https://api.crowdee.de/v1/files/c88a493819bf9afa2de79fdfa7de809c","1","4","0","45"
"5B2CC765A86A0A1","Sympathie_2016-11-02T12:28:51.716Z","A9C504B411","AUTOMATICALLY_ACCEPTED","82","2016.12.02 06:44:30 +0000","2016.12.02 06:44:31 +0000","2016.12.02 06:45:53 +0000","2016.12.02 06:45:53 +0000","","2016.12.02 06:45:53 +0000","2016.12.02 06:45:53 +0000","https://api.crowdee.de/v1/files/4d82c22227076520e414b55123b71e7c","1","4","0","19"
"629A089C58C3A8A","Sympathie_2016-11-02T12:28:51.716Z","F3DF6104DB","AUTOMATICALLY_ACCEPTED","154","2016.12.02 06:49:35 +0000","2016.12.02 06:49:35 +0000","2016.12.02 06:52:10 +0000","2016.12.02 06:52:10 +0000","","2016.12.02 06:52:10 +0000","2016.12.02 06:52:10 +0000","https://api.crowdee.de/v1/files/3bb266ba863fcddecd0074d02e988e32","1","4","0","30"
"7ACE355D608C07B","Sympathie_2016-11-02T12:28:51.716Z","D081B5C2DD","AUTOMATICALLY_ACCEPTED","99","2016.12.02 07:00:26 +0000","2016.12.02 07:00:26 +0000","2016.12.02 07:02:06 +0000","2016.12.02 07:02:06 +0000","","2016.12.02 07:02:06 +0000","2016.12.02 07:02:06 +0000","https://api.crowdee.de/v1/files/d4e6015b63468fa01731126fe34771fa","1","4","1","59"
