"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:sliders","Answer.2:sliders","Answer.3:sliders","Answer.4:sliders","Answer.5:sliders","Answer.6:sliders","Answer.7:sliders","Answer.8:sliders","DynamicContent.audio1","DynamicContent.audio2","DynamicContent.audio3","DynamicContent.audio4","DynamicContent.audio5","DynamicContent.audio6","DynamicContent.audio7","DynamicContent.audio8"
"7FE5D4C328A5CD7","Sympathie_2016-11-02T12:35:49.155Z","7E4F3B3A42","ACCEPTED","69","2016.12.01 18:53:43 +0000","2016.12.01 18:53:43 +0000","2016.12.01 18:54:52 +0000","2016.12.05 17:24:03 +0000","","2016.12.06 18:54:52 +0000","2016.12.03 18:54:52 +0000","55","78","73","60","39","40","48","0","https://api.crowdee.de/v1/files/e48f96e3c881dae523ac7f852c9c0475","https://api.crowdee.de/v1/files/5b6d7cf1a4537037664311e50aa207e7","https://api.crowdee.de/v1/files/bfc9796c9f6685739a4f295a606ba8a1","https://api.crowdee.de/v1/files/01937bb6d9b5daaf112d63c96ca77616","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/87e19cf15f886663d0045c2a68d92146","https://api.crowdee.de/v1/files/e9118b1268a0c4774c1bbdcfbbb2f35e","https://api.crowdee.de/v1/files/03da8e5765c0244488a0d6a627f58e86"
"74C8DE84221C012","Sympathie_2016-11-02T12:35:49.155Z","1520A16384","ACCEPTED","117","2016.12.01 19:34:49 +0000","2016.12.01 19:34:49 +0000","2016.12.01 19:36:47 +0000","2016.12.05 17:24:03 +0000","","2016.12.06 19:36:47 +0000","2016.12.03 19:36:47 +0000","61","65","43","51","56","64","48","57","https://api.crowdee.de/v1/files/e9118b1268a0c4774c1bbdcfbbb2f35e","https://api.crowdee.de/v1/files/9ff0ab70f40f4c60809c2b1b52d4f5b2","https://api.crowdee.de/v1/files/4e80dee1f02d92bfc39a7e4f3a855cfd","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/e48f96e3c881dae523ac7f852c9c0475","https://api.crowdee.de/v1/files/5ed78b156c4901f191e66e2174984fcb","https://api.crowdee.de/v1/files/87e19cf15f886663d0045c2a68d92146","https://api.crowdee.de/v1/files/5b6d7cf1a4537037664311e50aa207e7"
"1D8C7D1B7AE959D","Sympathie_2016-11-02T12:35:49.155Z","527A622A00","ACCEPTED","76","2016.12.01 20:31:29 +0000","2016.12.01 20:31:29 +0000","2016.12.01 20:32:45 +0000","2016.12.05 17:24:03 +0000","","2016.12.06 20:32:45 +0000","2016.12.03 20:32:45 +0000","88","69","69","73","94","57","101","86","https://api.crowdee.de/v1/files/01937bb6d9b5daaf112d63c96ca77616","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/e9118b1268a0c4774c1bbdcfbbb2f35e","https://api.crowdee.de/v1/files/5ed78b156c4901f191e66e2174984fcb","https://api.crowdee.de/v1/files/9ff0ab70f40f4c60809c2b1b52d4f5b2","https://api.crowdee.de/v1/files/bfc9796c9f6685739a4f295a606ba8a1","https://api.crowdee.de/v1/files/d31eb67d66f86259224ce57c8b5b494a","https://api.crowdee.de/v1/files/436730f7ba673a7dda2b2298bd734734"
"4F7D7633C7C654F","Sympathie_2016-11-02T12:35:49.155Z","9225161B3E","ACCEPTED","130","2016.12.01 21:21:54 +0000","2016.12.01 21:21:54 +0000","2016.12.01 21:24:04 +0000","2016.12.05 17:24:03 +0000","","2016.12.06 21:24:04 +0000","2016.12.03 21:24:04 +0000","52","65","70","81","78","67","56","0","https://api.crowdee.de/v1/files/4e80dee1f02d92bfc39a7e4f3a855cfd","https://api.crowdee.de/v1/files/e48f96e3c881dae523ac7f852c9c0475","https://api.crowdee.de/v1/files/5ed78b156c4901f191e66e2174984fcb","https://api.crowdee.de/v1/files/848d4020c2b70f7856554a4d967e8e4b","https://api.crowdee.de/v1/files/5b6d7cf1a4537037664311e50aa207e7","https://api.crowdee.de/v1/files/9ff0ab70f40f4c60809c2b1b52d4f5b2","https://api.crowdee.de/v1/files/436730f7ba673a7dda2b2298bd734734","https://api.crowdee.de/v1/files/06a6efdebb2feaf96fc0f022ce9ca84f"
"F7BC2F302616C44","Sympathie_2016-11-02T12:35:49.155Z","E748D176AF","ACCEPTED","79","2016.12.01 22:57:35 +0000","2016.12.01 22:57:35 +0000","2016.12.01 22:58:54 +0000","2016.12.05 17:24:03 +0000","","2016.12.06 22:58:54 +0000","2016.12.03 22:58:54 +0000","69","83","0","57","71","40","22","101","https://api.crowdee.de/v1/files/5ed78b156c4901f191e66e2174984fcb","https://api.crowdee.de/v1/files/d31eb67d66f86259224ce57c8b5b494a","https://api.crowdee.de/v1/files/bfc9796c9f6685739a4f295a606ba8a1","https://api.crowdee.de/v1/files/e48f96e3c881dae523ac7f852c9c0475","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/9b892e203ca7ce5ed9f27cd059b12b70","https://api.crowdee.de/v1/files/4e80dee1f02d92bfc39a7e4f3a855cfd","https://api.crowdee.de/v1/files/6edfd07a92daad731a6f9f401471c260"
"15AD6928D405AF3","Sympathie_2016-11-02T12:35:49.155Z","70A8732199","ACCEPTED","73","2016.12.02 00:05:25 +0000","2016.12.02 00:05:25 +0000","2016.12.02 00:06:39 +0000","2016.12.05 17:24:03 +0000","","2016.12.07 00:06:39 +0000","2016.12.04 00:06:39 +0000","86","73","63","88","45","71","61","89","https://api.crowdee.de/v1/files/5ed78b156c4901f191e66e2174984fcb","https://api.crowdee.de/v1/files/5e59df6fa881add29ec4be1c1bb3b38a","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/436730f7ba673a7dda2b2298bd734734","https://api.crowdee.de/v1/files/01937bb6d9b5daaf112d63c96ca77616","https://api.crowdee.de/v1/files/e48f96e3c881dae523ac7f852c9c0475","https://api.crowdee.de/v1/files/4e80dee1f02d92bfc39a7e4f3a855cfd","https://api.crowdee.de/v1/files/9ff0ab70f40f4c60809c2b1b52d4f5b2"
"AEABFA0FACEF0BC","Sympathie_2016-11-02T12:35:49.155Z","A9C504B411","REJECTED","48","2016.12.02 06:45:59 +0000","2016.12.02 06:46:00 +0000","2016.12.02 06:46:48 +0000","","2016.12.05 17:23:51 +0000","2016.12.07 06:46:48 +0000","2016.12.04 06:46:48 +0000","71","71","74","81","77","73","69","83","https://api.crowdee.de/v1/files/5ed78b156c4901f191e66e2174984fcb","https://api.crowdee.de/v1/files/bfc9796c9f6685739a4f295a606ba8a1","https://api.crowdee.de/v1/files/9ff0ab70f40f4c60809c2b1b52d4f5b2","https://api.crowdee.de/v1/files/e9118b1268a0c4774c1bbdcfbbb2f35e","https://api.crowdee.de/v1/files/01937bb6d9b5daaf112d63c96ca77616","https://api.crowdee.de/v1/files/9b892e203ca7ce5ed9f27cd059b12b70","https://api.crowdee.de/v1/files/848d4020c2b70f7856554a4d967e8e4b","https://api.crowdee.de/v1/files/abac4e62b8cb62d998655f499114b809"
"1C3F6D68E23D54D","Sympathie_2016-11-02T12:35:49.155Z","2117720300","ACCEPTED","78","2016.12.02 11:38:51 +0000","2016.12.02 11:39:05 +0000","2016.12.02 11:40:24 +0000","2016.12.05 17:24:03 +0000","","2016.12.07 11:40:24 +0000","2016.12.04 11:40:24 +0000","68","33","68","63","30","80","65","41","https://api.crowdee.de/v1/files/d31eb67d66f86259224ce57c8b5b494a","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/e9118b1268a0c4774c1bbdcfbbb2f35e","https://api.crowdee.de/v1/files/01937bb6d9b5daaf112d63c96ca77616","https://api.crowdee.de/v1/files/87e19cf15f886663d0045c2a68d92146","https://api.crowdee.de/v1/files/bfc9796c9f6685739a4f295a606ba8a1","https://api.crowdee.de/v1/files/9b892e203ca7ce5ed9f27cd059b12b70","https://api.crowdee.de/v1/files/5e59df6fa881add29ec4be1c1bb3b38a"
"AAC1DE0B1B4DE8B","Sympathie_2016-11-02T12:35:49.155Z","13B72EB3B9","ACCEPTED","132","2016.12.02 12:59:25 +0000","2016.12.02 12:59:25 +0000","2016.12.02 13:01:37 +0000","2016.12.05 17:24:03 +0000","","2016.12.07 13:01:37 +0000","2016.12.04 13:01:37 +0000","78","99","83","83","77","99","62","101","https://api.crowdee.de/v1/files/9b892e203ca7ce5ed9f27cd059b12b70","https://api.crowdee.de/v1/files/bfc9796c9f6685739a4f295a606ba8a1","https://api.crowdee.de/v1/files/5b6d7cf1a4537037664311e50aa207e7","https://api.crowdee.de/v1/files/848d4020c2b70f7856554a4d967e8e4b","https://api.crowdee.de/v1/files/e9118b1268a0c4774c1bbdcfbbb2f35e","https://api.crowdee.de/v1/files/d31eb67d66f86259224ce57c8b5b494a","https://api.crowdee.de/v1/files/87e19cf15f886663d0045c2a68d92146","https://api.crowdee.de/v1/files/bb18fe2db4a66ea688fab135c5f227c8"
"0BFDF4536399318","Sympathie_2016-11-02T12:35:49.155Z","F1EBFFE603","ACCEPTED","165","2016.12.02 13:18:06 +0000","2016.12.02 13:18:06 +0000","2016.12.02 13:20:52 +0000","2016.12.05 17:24:03 +0000","","2016.12.07 13:20:52 +0000","2016.12.04 13:20:52 +0000","83","61","65","77","55","56","82","0","https://api.crowdee.de/v1/files/9ff0ab70f40f4c60809c2b1b52d4f5b2","https://api.crowdee.de/v1/files/d31eb67d66f86259224ce57c8b5b494a","https://api.crowdee.de/v1/files/5b6d7cf1a4537037664311e50aa207e7","https://api.crowdee.de/v1/files/848d4020c2b70f7856554a4d967e8e4b","https://api.crowdee.de/v1/files/e48f96e3c881dae523ac7f852c9c0475","https://api.crowdee.de/v1/files/17e34c22eac84bced948cfcff999b02c","https://api.crowdee.de/v1/files/5e59df6fa881add29ec4be1c1bb3b38a","https://api.crowdee.de/v1/files/d2bed294bef295d2c116ac210696aae4"
